id,document_number,window_number,pair_number,text,hadar,shir
37.0.1,37,0,1,"לונדון (רויטר). מרכז הכובד של הליגה האנגלית [א1] עובר [/א1] השבת מהצמרת לתחתית, מהמובילה ליוורפול ליריבתה העירונית אוורטון, [א2] המדורגת [/א2] 71 ומנסה להיחלץ מהמצוקה בהנהגת מנהלה החדש-ישן הווארד קנדל.",AFTER,AFTER
11.66.174,11,66,174," זה כ02 שנה מתאמצת חבורת שמרנים, ביניהם אירווינג קריסטול, להשיג סובסידיה פילנטרופית להוגים רבים יותר מהימין. הם [א1] סבורים [/א1] שיש אירוניה בכך שמענקי קרנות באים בדרך כלל מטיפוסים שמרניים, אך הקרן לובשת לעיתים קרובות חזות של שמאלה מהמרכז בהנהגת הפילנטרופואידים (המונח שטבע דווייט מקדונלד בקרן פורד), שבסופו של דבר [א2] מנהלים [/א2] אותם.",AFTER,AFTER
43.5.36,43,5,36," גבת [א1] שלטה [/א1] יותר בכדורים החוזרים, 92 לעומת 52 כדורים של ראשון לציון. מיקי ברקוביץ, שיצא לקראת הסיום ב-5 עבירות, מיעט לזרוק ולכן גם [א2] צבר [/א2] מעט נקודות.",BEFORE,BEFORE
73.7.20,73,7,20," נציגי התמ""ס, המנכ""ל צבי קורן ומנהל מרכז ההשקעות משה טרי, [א1] טילפנו [/א1] אל השר נסים ומסרו לו על החלטתו של שוחט. נסים טילפן אל שוחט [א2] ודחק [/א2] בו לקבל החלטה ללא דיחוי.",BEFORE,BEFORE
27.22.130,27,22,130," הוא האמין שבימים אלה יש להתנהג כמו בתקופת יהושע בן נון בעת שהוריש את הארץ. אצל פעילי ""כך"" [א1] יצר [/א1] עולם מושגים משיחי, [א2] וחיבר [/א2] אותם בקשר סהרורי אל אלוהים.",EQUAL,EQUAL
15.66.366,15,66,366," מצה""ל [א1] נמסר [/א1] כי ממצאי תחקיר ראשוני לא העלו דבר וכי היום יתבצע תחקיר מקיף. שלושה בקבוקי תבערה [א2] הושלכו [/א2] אמש לעבר מפקדת כוחות צה""ל ברצועה, הממוקמת בעיר עזה.",VAGUE,VAGUE
27.109.783,27,109,783," מה [א1] שנראה [/א1] לכאורה כרצח בכוונה תחילה (לפי עדויות בני משפחתו), לבש צורת המלצה להגשת גיליון אישום על הריגה, שקיבלה דמות של העמדה לדין על שתי עבירות משמעתיות, שהפכה לגיליון אישום מתוקן שבו אין זכר לעובדת המוות. ""מבית המשפט [א2] נחסך [/א2] הרבה זמן כתוצאה מעסקת הטיעון"", טרחו התובעת והסניגוריות להזכיר השבוע בעת הדיון על חומרת העונש.",BEFORE,BEFORE
27.53.375,27,53,375," כהנא היה אגוצנטרי מכדי לחלק את כוחו הפוליטי עם גורם אחר. לכן פלט מהמעגל הקרוב אליו אנשים כמו יואל לרנר, אלי אדיר ויוסי דיין, [א1] שיצגו [/א1] שכבה חברתית שונה מזו שעמה [א2] נמנים [/א2] רוב אנשי ""כך"".",EQUAL,NONE
17.30.217,17,30,217," זה המגנה את רוצחו של מאיר כהנא, מן הראוי שישמיע את קולו נגד כל רצח, ואסור לו להיות [א1] מושפע [/א1] מהשקפותיו הפוליטיות. יש ליצור אווירה ציבורית שתשים סכר מפני תעמולתה של תנועת ""כך"", [א2] ושתרחיק [/א2] את הסכנה שיהודים ייפגעו מכלים שיקותיאל בן-יעקב קרא להפעלתם.",VAGUE,VAGUE
3.5.80,3,5,80," אני מוכן, ורוצה, לשלוח את הילד שלי לירושלים עם זר פרחים ועם קופסת ממתקים, כדי להביע הוקרה ועידוד לנכד של אבא קובנר, [א1] שחטף [/א1] סכין בראש מידי אותו מרצח שפל שדקר למוות שלושה יהודים בשכונת בקעה. אני רוצה שהילד שלי יסתכל בעיניים של הילד הפגוע ויגיד לו: ""אתה לא לבדך בירושלים, כי גם אנחנו [א2] הגרים [/א2] בנווה-מונסון, אתך בלב איתן ביחד"".",VAGUE,AFTER
111.1.12,111,1,12," כחלוף שבוע נחלו שתיהן הפסדי חוץ, במחזור השישי של הליגה, בלי שהצליחו אפילו להבקיע שער כדי להחזיר את הפיסגה לקבוצת מכבי חיפה, [א1] הנחשבת [/א1] על ידי מומחים ופרשנים, ובצדק, לקבוצה הטובה ביותר בעונה זו. אחרי משחקי אתמול [א2] נותר [/א2] הפועל באר שבע היחיד שעדיין לא נוצח; ואת הטבלה סוגרות שלוש הקבוצות היחידות שעדיין לא השיגו ניצחון (כפסר סבא, חולון, נתניה).",VAGUE,BEFORE
117.3.28,117,3,28," מי שחשב שההוראה ששיגר לבורסה [א1] יצאה [/א1] במועד התאכזב, ואולי הפסיד כסף. מדוע הפסקות החשמל מובנות מאליהן לחברת החשמל ולכן [א2] הופכות [/א2] לשגרה? מדוע לפחות אין הם מפרסמים התנצלות והסברים, באותו תקציב שבו הם משתמשים כדי ליצור תדמית ציבורית חיובית? איך זה שמדינה שבה יש מכשור מתקדם, הפסקות חשמל משבשות לעתים כה תכופות את העבודה? הפסקת מים בלתי מתוכננת עלולה להיות צרה צרורה, כשאתה ממהר לעבודה או סתם באמצע מקלחת.",VAGUE,AFTER
27.35.277,27,35,277," כעבור שנה, כאשר נחתמו הסכמי קאמף-דייוויד, גרם לו גיבורו אכזבה מרה. הוא [א1] ראה [/א1] בבגין אדם שבגד באמונתו ובעמו, ובמאמר ב""גואיש פרס"" פסק כי ראש הממשלה לקה ב""חילול השם"" בכך שהפחד שלו מהגויים [א2] גבר [/א2] על יראת ה.",AFTER,AFTER
109.24.45,109,24,45," שער השיוויון של צלסי הובקע בבעיטת-11 של דניס ווייס, שקודם לכן [א1] בעט [/א1] את הכדור שפגע על קו בשער בידו של בלם נוריץ יאן באטרוורת. קפספבינאולדהאם נותרה ראשונה בליגה השניה עם 83 נקודות אחרי ניצחון 4 1 על ווטפורד, [א2] המדורגת [/א2] אחרונה עם 9 נקודות בלבד.",BEFORE,VAGUE
109.20.17,109,20,17," מלבד המשחק בין ארסנל לקריסטל פאלאס, [א1] הסתיימו [/א1] עוד שלושה מאבקים ללא שערים: דרבי (מקום 91) מנצסטר יונייטד, סנדרלנד קובנטרי, ומאבק התחתית בין שפילד יונייטד לאוורטון עם המנהל החדש-ישן האוורד קנדל שהותיר את המארחים ללא ניצחון ליגה. אסטון וילה, [א2] שהודחה [/א2] בשבוע שעבר מגביע אופ""א בידי אינטר מילאנו, הבקיעה אתמול שער ראשון בליגה אחרי חודש מרגלי הבלם הדני קנט נילסן בדקה ה-16, אבל הסתפקה ב-1 1 במגרשה עם נוטינגהאם שהישוותה בדקה ה-87.",AFTER,VAGUE
119.10.33,119,10,33," הסדרה [א1] מספרת [/א1] את סיפורה של משפחה ישראלית ממוצעת כמעט. האב (אברהם מור) עורך מוסף בעיתון יומי, האם (שושיק שני) שחקנית, הבת (ענת זמיר) עורכת-דין והבן (דני שטג) [א2] מנסה [/א2] את כוחו בעיתון המתחרה.",VAGUE,VAGUE
63.0.4,63,0,4,"למרות אופיו הריכוזי איפשר השלטון העותמני בארץ מידה רבה של חופש פעולה להון הפרטי בארץ בתקופה שלפני כמאה שנה. מסקנה זו היתה אחת מאלה [א1] שהועלו [/א1] בכנס מיוחד [א2] שנערך [/א2] לפני ימים מספר על-ידי ""המרכז הישראלי לקידום חברתי וכלכלי"" שעסק ביוזמות הפרטיות בבניין הארץ בשלהי התקופה העותמנית, והתקיים בבית ההארחה של מעלה החמישה.",AFTER,EQUAL
63.10.76,63,10,76," פרוף ישראל קולת [א1] טען [/א1] כי ד""ר ארתור רופין, שעמד בראש המשרד הארצישראלי, הראה את הדרך לשילוב בין יוזמה פרטית לציבורית. בין היזמים הפרטיים בתחילת המאה ובמאה שעברה [א2] הוזכרו [/א2] הטמפלרים, שלמרות מספרם המועט (2,000 בתקופת השיא שלהם) השפיעו השפעה מכרעת על הכלכלה החופשית היהודית, ובעיקר בתחום הבנייה במושבות.",EQUAL,EQUAL
27.80.546,27,80,546," הן ביקשו לתחום את המשפט למסגרתו המשמעתית, והזכירו לשופטים כי פרקליט מחוז ירושלים קבע שאי-אפשר להעמיד את שני הנאשמים לדין פלילי על הריגה, משום שאין יכולת להוכיח כי היריות [א1] המיוחסות [/א1] להם הן שהרגו את מובארק. לאחר סדרה לא קצרה של ישיבות, שבהן פרשה התביעה את ראיותיה, הגיעו שני הצדדים להסכם: גיליון האישום תוקן הושמטה ממנו הפסקה שהזכירה את מותו של מובארק ונקבע כי היריות שירו השניים לא [א2] גרמו [/א2] לסיכון חיי אדם.",BEFORE,AFTER
27.26.240,27,26,240," כהנא חזה את אחרית הימים כאפשרות ממשית קרבה והולכת, באופן האפוקליפטי שבו היא מתוארת בתנ""ך: עם ישראל מביא את עצמו עד לסף כליה, בגלל נטישתו את ה; מלחמת גוג ומגוג מתרגשת ובאה על ארץ ישראל; העם מכיר בחטאו, חוזר בתשובה וזוכה לגאולה שלמה. למרות שהתבטא, מדי פעם כי הוא עלול להיות מטרה להתנקשות, ספק אם [א1] העלה [/א1] בחזונותיו תמונה שבה הוא [א2] נרצח [/א2] בלב מנהטן.",BEFORE,EQUAL
67.11.17,67,11,17," עלייה זו נובעת מעלייה ביבוא ב4% בעוד שביצוא באותה תקופה, [א1] נרשמה [/א1] יציבות. בחודשיים האחרונים [א2] הסתכם [/א2] היבוא ללא יהלומים וללא הדלק ב709 מיליוני ד בממוצע לחודש, נמוך ב2% מהממוצע החודשי ביולי ואוגוסט לאחר עלייה של 21% בחודשיים אלה לעומת מאי ויוני השנה.",EQUAL,EQUAL
3.0.40,3,0,40,"הידיעה שפורסמה תחת הכותרת: ""הורים בבית הספר בנווה-מונוסון נגד טיול לירושלים; טוענים: הפגנה פוליטית""; (""הארץ"", 0192), הטרידה אותי מאוד. נילי מנדלר, שמסרה את הידיעה מפי הורים (אין יודעים אם מדובר בהורה בודד, או בקבוצת הורים מסוימת), כתבה כי ""אחד ההורים, [א1] שהחזיר [/א1] למנהלת את הספח החוזר שבו הביע התנגדות להשתתפות ילדו בטיול, [א2] טען [/א2] כי ""זהו חינוך פוליטי כאשר ילדינו משמשים אמצעי חי להפגנות"".",EQUAL,BEFORE
15.11.49,15,11,49, כרוז שהופץ [א1] קרא [/א1] ליום הסלמה בשטחים. מקורות פלשתיניים [א2] דיווחו [/א2] שהתקריות החלו בכמה מחנות פליטים כבר ביום שישי.,BEFORE,BEFORE
100.0.2,100,0,2,"מחיפה הישווה בשבת את השיא הלאומי בירי ברובה אוויר, לאחר [א1] שצבר [/א1] 685 נקודות מ-006 אפשריות. הוא [א2] הקדים [/א2] ב-3 נקודות את גיא סטריק מירושלים.",BEFORE,BEFORE
11.56.133,11,56,133," לאנשים אלה מומלץ ליהפך לקטליזטורים: לקבץ יחד אנשים רבים היכולים להבטיח פתרונות או שלפחות יכולים היו, אילו [א1] סגרו [/א1] אותם במרכז ועידות במשך ימים, להציע פתרון. הקרנות [א2] אוהבות [/א2] יותר ויותר סימנים מוחשיים כאלה להשפעה שיש לכנסים ולהתוועדויות.",VAGUE,VAGUE
71.6.30,71,6,30," המחיר הראשוני שנדרש תמורת המשרדים היה 045 אלף דולר, אך הקונים העלו את המחיר בהדרגה במהלך המכירה הפומבית [א1] שנערכה [/א1] בבית-המשפט המחוזי בת""א. המחירים [א2] הועלו [/א2] לעתים בסכומים קטנים של 5,000 דולר, עד שהמחיר קפץ ל067 אלף דולר, בכ04% יותר ממה שנדרש בתחילה.",BEFORE,BEFORE
101.12.151,101,12,151," אבי נימני שילח כדור מתוחכם לעור שחדר לרחבת חולון ובאין מפריע [א1] בעט [/א1] שטוחות לרשתו של ביטרן. החלפתו של ארמלי הגרוע במחצית השניה ובעבר השני החלפתו התמוהה של איציק זוהר ממכבי [א2] גרמו [/א2] לשינוי ביחסי הכוחות, כאשר שחקני חולון החלו ללחוץ על שער מכבי וצמצמו בדקה ה-75 בבעיטת 11 של אבי פס לאחר הכשלת אוחנה ברחבה.",BEFORE,BEFORE
109.23.38,109,23,38," חלוץ נוריץ, דייל גורדון, [א1] הבקיע [/א1] שער בכורה העונה בדקה ה-31 בבעיטה מ-02 מטרים. שער השיוויון של צלסי הובקע בבעיטת-11 של דניס ווייס, שקודם לכן בעט את הכדור [א2] שפגע [/א2] על קו בשער בידו של בלם נוריץ יאן באטרוורת.",BEFORE,EQUAL
101.12.154,101,12,154," אבי נימני שילח כדור מתוחכם לעור שחדר לרחבת חולון ובאין מפריע בעט שטוחות לרשתו של ביטרן. החלפתו של ארמלי הגרוע במחצית השניה ובעבר השני החלפתו התמוהה של איציק זוהר ממכבי [א1] גרמו [/א1] לשינוי ביחסי הכוחות, כאשר שחקני חולון [א2] החלו [/א2] ללחוץ על שער מכבי וצמצמו בדקה ה-75 בבעיטת 11 של אבי פס לאחר הכשלת אוחנה ברחבה.",EQUAL,EQUAL
65.1.39,65,1,39," בתביעה שהוגשה בסדר דין מקוצר טוענת פרקליטת חברת הביטוח, עו""ד רחל בלומנטל, כי שני הנתבעים התקשרו עם חברת הביטוח אושיות (בפירוק) להנפקת פוליסות ביטוח לעובדי חברת החשמל, והכספים המגיעים לרותם הם סכומי הפרמיות [א1] שנגבו [/א1] מעובדי חברת החשמל (או שהיו צריכים להיגבות). סכום התביעה, נאמר בתביעה, הוא הסכום לאחר הפחתה של העמלות [א2] המגיעות [/א2] לנתבעים.",NONE,BEFORE
15.28.94,15,28,94," אתמול [א1] הסיר [/א1] צה""ל את העוצר מרוב שטחי הגדה המערבית, שהושמו בעוצר מונע לרגל יום הצהרת בלפור ובעקבות אירועים אלימים. מקורות פלשתיניים טענו כי בסוף השבוע [א2] הוכו [/א2] במרכז שכם 01 תושבים מקומיים בידי חיילי צה""ל, סמוך לשוק הירקות.",AFTER,AFTER
81.6.55,81,6,55," מנכ""ל רשות החברות הממשלתיות אמר אמש בתגובה, שהעובדים כבר [א1] קיבלו [/א1] את חלקם במניות החברה ולפיכך תביעתם להקצאה נוספת של מניות היא ""חוצפנית"". לדבריו, טענותיו של הוועד נגד המכירה לגורמים פרטיים ""אינם לעניין"" ולפיכך הוא [א2] מסרב [/א2] להיפגש עמו.",BEFORE,BEFORE
107.6.14,107,6,14," בינתיים [א1] הוחזר [/א1] הענק וסטריס לנבחרת ואולי הוא יפתור במידה חלקית את בעית זניאל. כדורסלן הגליל, שהיה מעורב בתקרית אחרי המישחק נגד הפועל ירושלים ביום חמישי במלחה, [א2] נשאר [/א2] במעצר במגרש הרוסים עד לשעות הבוקר.",AFTER,AFTER
15.60.309,15,60,309," באדר עלי אבו זהרה, סטודנט להנדסה, תושב הכפר יאטה, נפגע בגבו וידו נשברה; נידאל פאיז אל פכוור, בן 12 מטובאס, תלמיד בחוג לאנגלית [א1] איבד [/א1] שתיים משיניו; 51 סטודנטים נוספים טופלו במרפאה מקומית ושוחררו לבתיהם. דובר צה""ל מסר בתגובה: ""כוח של צה""ל [א2] עצר [/א2] קבוצה של 03 אנשים כדי לאתר מבוקשים.",EQUAL,AFTER
15.6.16,15,6,16," נציג דובר צה""ל בפיקוד דרום [א1] סירב [/א1] לפרט באילו כדורים נפצעו התושבים. מקורות צבאיים בפיקוד דרום [א2] אמרו [/א2] כי 78 תושבים נפצעו ו05 שוחררו לבתיהם.",EQUAL,EQUAL
27.96.709,27,96,709," נוצר רושם שהרשויות הנוגעות בדבר [א1] מתחמקות [/א1] מלחקור את מותו של סאלם איסמעיל מובארק, שלא היה פעיל באינתיפאדה, לא היה מעורב באירוע ביטחוני כלשהו, ייחל לרגע שתיפסק האלימות היהודית-פלשתינאית כדי שיוכל לשוב למסלול חייו הקודם (הוא היה אמן גילוף בעץ), נהרג על מפתן ביתו כשהוא ובני משפחתו חורשים את חלקת אדמתם. הרושם הזה [א2] התחזק [/א2] כשהתברר שמכתב ששיגר עו""ד דרוויש נאסר, פרקליטה של משפחת ההרוג, ללשכת שר המשטרה דאז, חיים בר-לב, לא טופל כלל, ושפניות של ח""כ דדי צוקר ושל אדי קאופמן (מעבידו של מובארק) לא נענו אף הן.",BEFORE,BEFORE
115.17.52,115,17,52," לב מכבי פ""ת מצמרת הליגה לא הצליח לנצל יתרונו כדי לגבור על מכבי יפו ממרכז הטבלה. האורחים [א1] שעלו [/א1] בהרכב הגנתי [א2] הפתיעו [/א2] בעלייתם ליתרון במחצית הראשונה, אולם המקומיים, שפתחו את המחצית השניה בסערה, הצליחו להשוות והרבו להחמיץ ממצבים נוחים.",BEFORE,BEFORE
111.6.55,111,6,55," אל המקום השני נסוג בית""ר ירושלים, שירד לנגב [א1] ואיפשר [/א1] למארחו בבאר שבע להשיג את ניצחונו הראשון העונה (2 0), אחרי סידרה בלעדית מפתיעה של 5 תיקו בזה אחר זה. בית""ר ת""א [א2] נסוג [/א2] למקום השלישי אחרי שנחל הפסד ראשון להפועל תל אביב, שהיה זה ניצחון הבכורה שלו (1 0) משער של יוסי אבוקסיס.",BEFORE,VAGUE
17.24.182,17,24,182," שמא למדו יובל נאמן וגאולה כהן לקח מהעובדה שאנשי ""כך"" סילקו אותם מהלוויה? עיניהם, ועיני כל האחרים [א1] שראו [/א1] במאיר כהנא ""פטריוט"" יהודי כי הטיף לשנוא את כל הערבים צריכות עתה להיפקח. משטרת ישראל עשתה מאמץ גדול כדי לרסן את ההמונים שהתפרעו בשעת הלוויה בירושלים; היא [א2] מצווה [/א2] להתמיד במאמץ זה, ולא רק בירושלים.",BEFORE,BEFORE
27.68.425,27,68,425," כהנא [א1] צדק [/א1] בתחזיותיו. לפני 51 שנה ניבא בספרו הראשון, ""האתגר"", את האינתיפאדה, [א2] והעריך [/א2] כי הציבור הישראלי יטה ימינה.",EQUAL,AFTER
11.68.193,11,68,193," קריסטול וחבריו השמרנים עשו שני דברים: ראשית, הם [א1] עודדו [/א1] חברות לתעל את הפילנטרופיה שלהן ליוצאים מן הכלל של כלל זה, כמו קרן גון מ. שנית, הם [א2] עודדו [/א2] את היוצאים מן הכלל להפעיל השפעה מודעת יותר על עיצוב מדיניות בדרג ארצי.",EQUAL,EQUAL
45.12.37,45,12,37," אבל הוא מצוי במלכוד, כי מחד הוא תומך באש""ף ובמאבק בישראל, אבל מאידך יש לו מגבלה חמורה מאד, משום שבפועל הוא מנסה לנהל מדיניות הפוכה, שנועדה שלא לשרוף את הגשרים עם ארה""ב ולא לחמם את הגבול עם ישראל. זה הדבר האחרון שחוסיין רוצה בו, אבל הוא לא [א1] בולם [/א1] את האווירה הקיצונית [א2] וכשמתחילה [/א2] הידרדרות לאורך הגבול עם ישראל והשלטון הירדני מאפשר לגורמים קיצוניים לפעול באופן עצמאי, הוא עלול לאבד את הריבונות הירדנית וליצור תהליך של לבנוניזציה של ירדן.",BEFORE,BEFORE
27.21.121,27,21,121," בספרו ""שאלות לא נוחות ליהודים נינוחים"" [א1] כתב [/א1] לא פחות ולא יותר, שאילו מעמד הר סיני היה מתנהל עתה, היה הוא, כהנא, המפרש הנכון של משה. הוא [א2] האמין [/א2] שבימים אלה יש להתנהג כמו בתקופת יהושע בן נון בעת שהוריש את הארץ.",AFTER,AFTER
17.5.62,17,5,62," האש הזאת תוסיף ללחוש, גם אם הלהבה של יום קבורתו של מאיר כהנא תדעך במקצת. אם בעקבות הפיגועים בבקעה, באשקלון ובצומת אלונים היה מקום להעלות את הסברה כי האינתיפאדה [א1] נכנסת [/א1] לשלב חדש והיא מתחילה להרחיב את מסגרת ההתמרדות בשלטון הכיבוש למלחמה בעם היהודי, ייתכן כי זה שרצח את מאיר כהנא עומד לגרור את העם היהודי להרים את הכפפה [א2] שנזרקה [/א2] לעברו מהצד הערבי-פלשתיני.",EQUAL,EQUAL
111.7.67,111,7,67," בית""ר ת""א נסוג למקום השלישי אחרי שנחל הפסד ראשון להפועל תל אביב, שהיה זה ניצחון הבכורה שלו (1 0) משער של יוסי אבוקסיס. מכבי תל אביב [א1] השיג [/א1] את ניצחונו השני, הפעם על צפרירים בחולון, רק 21 אבל מספיק כדי להעלות את המוראל ולהגביר את התחושה שעם שני הניצחונות הרצופים [א2] תחל [/א2] התקופה הוורודה שהאוהדים כך מייחלים לה.",BEFORE,BEFORE
27.19.115,27,19,115," שפרינצק [א1] סיפר [/א1] שכאשר תהה באוזני כהנא על תבונת מהלכיו הפוליטיים, השיב לו מנהיג ""כך"" בנימה של מי שהשליחות האלוהית חזקה ממנו: ""זו דרכי, כך אני מרגיש, זה מה שנכון בעיני לעשות. מה שאני [א2] עושה [/א2] זו הפרשנות הנכונה ביותר של ההלכה"".",AFTER,AFTER
