Unnamed: 0,id,document_number,window_number,pair_number,text,hadar,shir,curated,label
4031,27.25.178,27,25,178," המעשה הקובע הוא רצון האל, קבע, וגם אם הוא עצמו יגיע לראשות הממשלה יבוא אסון גדול על מדינת ישראל אם תושביה לא [א1] יחזרו [/א1] בתשובה. כהנא חזה את אחרית הימים כאפשרות ממשית [א2] קרבה [/א2] והולכת, באופן האפוקליפטי שבו היא מתוארת בתנ""ך: עם ישראל מביא את עצמו עד לסף כליה, בגלל נטישתו את ה; מלחמת גוג ומגוג מתרגשת ובאה על ארץ ישראל; העם מכיר בחטאו, חוזר בתשובה וזוכה לגאולה שלמה.",VAGUE,VAGUE,,VAGUE
4336,27.80.576,27,80,576," הן ביקשו לתחום את המשפט למסגרתו המשמעתית, והזכירו לשופטים כי פרקליט מחוז ירושלים קבע שאי-אפשר להעמיד את שני הנאשמים לדין פלילי על הריגה, משום שאין יכולת להוכיח כי היריות המיוחסות להם הן שהרגו את מובארק. לאחר סדרה לא קצרה של ישיבות, שבהן פרשה התביעה את ראיותיה, הגיעו שני הצדדים להסכם: גיליון האישום תוקן [א1] הושמטה [/א1] ממנו הפסקה שהזכירה את מותו של מובארק ונקבע כי היריות שירו השניים לא [א2] גרמו [/א2] לסיכון חיי אדם.",AFTER,AFTER,,AFTER
6584,69.26.175,69,26,175," אין ביטוי ב""ליצואן"", ולו במלה אחת, לדיונים [א1] המתנהלים [/א1] זה שבועות רבים על הכוונה לבטל את שבוע המזון, בשל החשש כי לא יגיעו קניינים מחו""ל. קפכותאחד מוותיקי האוצר, המשנה לממונה על שוק ההון וביטוח, [א2] עומד [/א2] לפרוש מתפקידו בינואר.",BEFORE,BEFORE,,BEFORE
3408,13.15.63,13,15,63, אחרי השחרור [א1] נעלמו [/א1] עקבותיו. בית משפט בליון [א2] דן [/א2] אותו למוות שלא בפניו.,BEFORE,BEFORE,,BEFORE
5074,108.19.67,108,19,67," גם לוותיק כדורסלני הליגה הלאומית מיקי ברקוביץ, שזו עונה 91 שלו (61 במכבי ו-3 בראשל""ץ) דעה דומה: ""בשלוש השנים האחרונות [א1] הצטמצם [/א1] הפער בין מכבי ליריביו"". למרות זאת [א2] סבור [/א2] מיקי: ""מכבי צריך לרמוס את הליגה.",VAGUE,BEFORE,,BEFORE
2531,27.68.425,27,68,425," כהנא [א1] צדק [/א1] בתחזיותיו. לפני 51 שנה ניבא בספרו הראשון, ""האתגר"", את האינתיפאדה, [א2] והעריך [/א2] כי הציבור הישראלי יטה ימינה.",EQUAL,AFTER,AFTER,AFTER
1934,111.5.50,111,5,50," לטובת חיפה שיחקו גם שלוש קבוצות צמרת הצמודות אליו, שהפסידו ואיפשרו לחיפאים לנצל את ההזדמנות הזו במלואה. אל המקום השני נסוג בית""ר ירושלים, [א1] שירד [/א1] לנגב [א2] ואיפשר [/א2] למארחו בבאר שבע להשיג את ניצחונו הראשון העונה (2 0), אחרי סידרה בלעדית מפתיעה של 5 תיקו בזה אחר זה.",BEFORE,BEFORE,,BEFORE
6832,27.22.129,27,22,129," הוא האמין שבימים אלה יש להתנהג כמו בתקופת יהושע בן נון בעת [א1] שהוריש [/א1] את הארץ. אצל פעילי ""כך"" יצר עולם מושגים משיחי, [א2] וחיבר [/א2] אותם בקשר סהרורי אל אלוהים.",BEFORE,BEFORE,,BEFORE
1450,69.22.150,69,22,150," מעובדי מדינה העובדים 5 ימים בשבוע ינוכו 3 ימי-עבודה, וממי שעובדים 6 ימים בשבוע ינוכו 4 ימים. לאלה [א1] שניסו [/א1] להתחכם [א2] וביקשו [/א2] כי במקום ניכוי ימי היעדרות ינכו ימים מחופשתם השנתית, הבהיר דנון כי אין להמיר ימי חופשה בימי היעדרות.",EQUAL,EQUAL,,EQUAL
3638,27.35.279,27,35,279," כעבור שנה, כאשר נחתמו הסכמי קאמף-דייוויד, גרם לו גיבורו אכזבה מרה. הוא ראה בבגין אדם [א1] שבגד [/א1] באמונתו ובעמו, ובמאמר ב""גואיש פרס"" פסק כי ראש הממשלה [א2] לקה [/א2] ב""חילול השם"" בכך שהפחד שלו מהגויים גבר על יראת ה.",AFTER,VAGUE,,VAGUE
663,27.5.37,27,5,37," הוא לא התבלבל, והם נראו כמי [א1] שמצאו [/א1] שלל רב. כאשר הגיעו למסקנה כי תפסו את הפרינציף וסגרו את מכשיריהם, [א2] סיננו [/א2] המאזינים לעברם קללות ואיומים: ""הכל בגללכם; אתכם צריך לגמור"".",BEFORE,BEFORE,,BEFORE
1536,122.14.267,122,14,267," לדוגמה, אם בתוכנית רגילה יכול החוסך לצאת מן התוכנית כעבור שנתיים, כאשר הבנק [א1] משלם [/א1] לו 59% מן הריבית וההצמדה שנצברו בתכנית ""המשך"" הוא רשאי לצאת עם נזק כנ""ל כבר אחרי שנה אחת; אם בתוכנית הרגילה יקבל החוסך ריבית שנתית בשיעור של אחוז שלם (ולא חצי אחוז, כפי שהבינה החוסכת בטעות) לאחר שיתמיד בחיסכון שלוש שנים חוסך בתוכנית המשך יתעשר באחוז אחד לשנה כבר אחרי שנתיים. לא מי-יודע-מה בהשוואה לציפיות [א2] המתעוררות [/א2] בלב לקוח תמים למקרא הודעת הבנק! לעומת זאת, הלקוח התמים יתקשה להבין מהודעת הבנק, שאם יסכים לקבל את ""התנאים הניתנים לחוסכים ותיקים בלבד"", יפסיד במעבר מתוכנית לתוכנית.",,VAGUE,,VAGUE
3735,27.22.128,27,22,128," הוא האמין שבימים אלה יש להתנהג כמו בתקופת יהושע בן נון בעת [א1] שהוריש [/א1] את הארץ. אצל פעילי ""כך"" [א2] יצר [/א2] עולם מושגים משיחי, וחיבר אותם בקשר סהרורי אל אלוהים.",BEFORE,BEFORE,,BEFORE
6132,27.34.260,27,34,260," כאשר עלה בגין לשלטון ב7791 [א1] כתב [/א1] כהנא: ""סוף סוף יש לנו ראש ממשלה יהודי"", והגדיר את המהפך הפוליטי כ""נס הנסים"". כעבור שנה, כאשר נחתמו הסכמי קאמף-דייוויד, [א2] גרם [/א2] לו גיבורו אכזבה מרה.",BEFORE,BEFORE,,BEFORE
1434,135.22.60,135,22,60," טילפנתי לרוקח האחראי, מר ליזר קסל. כעבור יומיים, הוא [א1] טילפן [/א1] אלי, לירושלים, הודיע לי שבדק את כל קו הייצור [א2] ומצא [/א2] כי אין תקלה בתרופה עצמה, אלא שהיא יבשה מהרגיל ומתפוררת יותר.",,AFTER,,AFTER
2493,43.6.41,43,6,41," מיקי ברקוביץ, שיצא לקראת הסיום ב-5 עבירות, [א1] מיעט [/א1] לזרוק ולכן גם צבר מעט נקודות. מוטי ארואסטי [א2] שיחק [/א2] מעט.",EQUAL,EQUAL,,EQUAL
974,17.24.179,17,24,179," שמא למדו יובל נאמן וגאולה כהן לקח מהעובדה שאנשי ""כך"" [א1] סילקו [/א1] אותם מהלוויה? עיניהם, ועיני כל האחרים שראו במאיר כהנא ""פטריוט"" יהודי כי הטיף לשנוא את כל הערבים צריכות עתה להיפקח. משטרת ישראל עשתה מאמץ גדול כדי לרסן את ההמונים שהתפרעו בשעת הלוויה בירושלים; היא [א2] מצווה [/א2] להתמיד במאמץ זה, ולא רק בירושלים.",BEFORE,,,BEFORE
3081,22.8.31,22,8,31," ""א-נהאר"" חזר והדפיס עכשיו, לאחר הרצח, את הראיון המקורי. כהנא [א1] אומר [/א1] בו לערבים שהוא איננו [א2] שונא [/א2] אותם.",,AFTER,,AFTER
3837,27.95.680,27,95,680," מהעניין נדף ריח קשה. [א1] נוצר [/א1] רושם שהרשויות הנוגעות בדבר מתחמקות מלחקור את מותו של סאלם איסמעיל מובארק, שלא היה פעיל באינתיפאדה, לא היה מעורב באירוע ביטחוני כלשהו, [א2] ייחל [/א2] לרגע שתיפסק האלימות היהודית-פלשתינאית כדי שיוכל לשוב למסלול חייו הקודם (הוא היה אמן גילוף בעץ), נהרג על מפתן ביתו כשהוא ובני משפחתו חורשים את חלקת אדמתם.",AFTER,AFTER,,AFTER
142,124.38.137,124,38,137," בגבול גרמניה-אוסטריה לינדאו-ציגלהאוז [א1] התעוררה [/א1] אסומן, יצאה מהמכונית שנסעה לאיטה בתחבורה העמוסה וקראה לעובדי המכס, ""הצילו אותנו, אבא חוטף אותנו"". האב והדודה נעצרו והבנות [א2] עברו [/א2] שטיפת קיבה.",,BEFORE,,BEFORE
3268,101.8.71,101,8,71," המכבים ניצלו עד תום את תסמונת התמימות שממנה סובלת חולון במשחקיה הביתיים. קשרי מכבי, נימני, קלינגר, זוהר ושוהם שהחליף את מלמיליאן הפצוע, גילו עליונות בולטת במרכז השדה ולאחר החמצה של קלינגר בדקה העשירית עלו ליתרון (91): זוהר פרץ באין [א1] מפריע [/א1] באגף הימני, [א2] שילח [/א2] כדור למרכז הרחבה וקלינגר הצליח במה שנכשל קודם ובבעיטה מ-8 מטרים קבע 1 0.",,BEFORE,,BEFORE
401,13.5.28,13,5,28," הוא לא הטריד את הממסד הצרפתי בהצהרות מביכות, ושלטונות צרפת לא טרחו שיוסגר לידיהם לצורך העמדתו לדין. שתי פרשיות אחרות, נוסף על זו של רנה בוסקה, [א1] נמצאות [/א1] אף הן כיום בדיון משפטי מוקדם [א2] שנמשך [/א2] זמן רב: זו של מוריס פאפון וזו של פול טובייה.",EQUAL,BEFORE,,BEFORE
136,108.28.84,108,28,84," אמנם נוצחנו פעם אחת, אבל לא שיחקנו נגד הגדולות. אם [א1] ננצח [/א1] באחד משלושת המשחקים הבאים נגד הפועל תל אביב, מכבי תל אביב והפועל גליל עליון זה יהיה הישג אדיר, [א2] שיתן [/א2] לנו דחיפה קדימה"".",BEFORE,BEFORE,,BEFORE
5344,17.18.155,17,18,155," מספיק כי מישהו, גם אם אין לו שום קשר עם התנועה, יחפש לעצמו קורבן מבין אלה השייכים לשלוש הקטגוריות. הפלשתינאים שביצעו רציחות בבקעה ובאשקלון וניסו לרצוח שתי חיילות בצומת אלונים [א1] פעלו [/א1] גם הם על דעת עצמם; באותו אופן עלולים ""לפעול"" יהודים כדי לתת פורקן לרגשותיהם הנסערים, בביצוע פיגוע שתנועת ""כך"" לא [א2] יזמה [/א2] או אישרה.",VAGUE,BEFORE,,BEFORE
4215,124.38.145,124,38,145," בגבול גרמניה-אוסטריה לינדאו-ציגלהאוז התעוררה אסומן, יצאה מהמכונית שנסעה לאיטה בתחבורה העמוסה וקראה לעובדי המכס, ""הצילו אותנו, אבא [א1] חוטף [/א1] אותנו"". האב והדודה נעצרו והבנות [א2] עברו [/א2] שטיפת קיבה.",,BEFORE,,BEFORE
2376,73.21.71,73,21,71," ח""כ דן תיכון [א1] אמר [/א1] כי אין מדיניות כוללת בנושא מחירי הדלק, ולכן הגענו למצב שבו מחיר הדלק בארץ התקייר מעל ומעבר למתחייב. ישראל היא המדינה היחידה [א2] שייקרה [/א2] את מחירי הדלק מ13 בדצמבר 98 ועד היום בשיעור של 37%.",AFTER,AFTER,,AFTER
1801,82.6.24,82,6,24," בהתייחסו לתביעת האוצר מההסתדרות, לכלול בשקט התעשייתי גם סכסוכי עבודה ייחודיים, [א1] אומר [/א1] זילוני כי ההסתדרות אינה יכולה להתחייב בשם עובדים שפנו לערכאות משפטיות, מה גם שהעילה לסכסוכים אלה אינה קשורה בהסכמי השכר הארציים אלא בנושאים יחודיים. אשר לתביעות האקדמאים, להרחיב את בסיס השכר לצורך פנסיה, [א2] הושגה [/א2] הסכמה להעלות את קצבאות הגמלאים שביניהם.",,AFTER,,AFTER
5048,5.4.20,5,4,20," אלה לא [א1] נופלים [/א1] כתוצאה משגיאות או ממחדלים, או אפילו מהתנהגות פסולה, אלא רק בשל משחקי כוח פוליטיים. המלצה לפיטורי שר או נושא משרה פוליטית, מצד בית המשפט העליון או מצד ועדת חקירה נופלת תמיד על אוזניים ערלות; אבל כשאפשר להטיל את האשמה על קצין צבא או משטרה, [א2] מוטל [/א2] גורלם של אלה על כף המאזניים.",EQUAL,EQUAL,,EQUAL
224,15.8.33,15,8,33, העוצר [א1] שהוטל [/א1] אתמול בעיירה בית חנון ובמקומות מרכזיים ברצועה יימשך היום. גורם צבאי בכיר אמר כי הצבא [א2] הופתע [/א2] מההתפרצות הספונטאנית.,AFTER,AFTER,,AFTER
1240,11.98.304,11,98,304," הקרנות הלא-שמרניות היו בעיקר אלה [א1] שפרסמו [/א1] מחקרים לאין-ספור בשאלה כיצד לשמור על השלום. עכשיו, כשהמלחמה הקרה חלפה, מנסים כולם למצוא משפטים ומטבעות לשון חדשים [א2] שילכדו [/א2] את תשומת לבם של פקידי תוכניות.",BEFORE,BEFORE,,BEFORE
967,65.0.25,65,0,25,"המשפט המחוזי בתל-אביב הוגשה השבוע תביעה בסכום של 905 אלף ש""ח שהגישה חברת הביטוח רותם נגד סוכני הביטוח אבנר קופל, בעל סוכנות ביטוח בתל-אביב, ונגד ראובן עופרי מנהל סוכנות ביטוח בחיפה. בתביעה שהוגשה בסדר דין מקוצר טוענת פרקליטת חברת הביטוח, עו""ד רחל בלומנטל, כי שני הנתבעים [א1] התקשרו [/א1] עם חברת הביטוח אושיות (בפירוק) להנפקת פוליסות ביטוח לעובדי חברת החשמל, והכספים [א2] המגיעים [/א2] לרותם הם סכומי הפרמיות שנגבו מעובדי חברת החשמל (או שהיו צריכים להיגבות).",BEFORE,BEFORE,,BEFORE
3650,2.3.26,2,3,26," וכעת לעובדות המצוטטות: כותרת המאמר, ""הקרב על סן סימון: היה לא היה"", [א1] מרמזת [/א1] כי ייתכן שבמנזר כלל לא התנהל קרב. לכל אלה המתרשמים [א2] ומסתפקים [/א2] בקריאת הכותרת בלבד, אני יכול להבטיח שאכן התנהל שם קרב, והוא היה אחד הקשים והמפוארים בכל קרבות ישראל.",,BEFORE,,BEFORE
289,59.2.23,59,2,23," יתר על כן, ל""הארץ"" נודע כי במסגרת אימוץ המדיניות החדשה [א1] הורה [/א1] יו""ר מכון התקנים, צבי אלון, למנכ""ל המכון, אלי הדר, לדווח לו על כל ניסיון מצד אחת מוועדות התקינה לעשות שימוש בתקינה כבמחסום להגנה על התוצרת המקומית. השינויים בכללים נעשו במסגרת פעולות שונות [א2] שנוקט [/א2] מכון התקנים לצורך התאמת התקינה הישראלית לתקינה האירופית, לקראת איחודה הכלכלי של אירופה ב2991.",VAGUE,AFTER,BEFORE,BEFORE
7244,2.11.82,2,11,82," האויב אמנם נשבר; קרב המגננה הפך לניצחון מוחץ; קטמון [א1] נפלה [/א1] וירושלים המערבית אוחדה. המאמר, [א2] המצטט [/א2] ממחקרו של אורי מילשטיין: ""מלכתחילה לא היה צריך לכבוש את המנזר.",,BEFORE,,BEFORE
598,27.43.338,27,43,338," לקראת הבחירות של נובמבר 8891, כאשר סקרי דעת הקהל ניבאו לו הצלחה של שלושה עד שבעה מנדטים, האמינו מעריציו כי יד אלוהים מפלסת את מצעדו אל כס שר הביטחון. הם היו משוכנעים שתוצאות הבחירות [א1] יחייבו [/א1] את שיתופה של ""כך"" בממשלה, וכי כהנא יהיה בעמדת מיקוח שתאפשר לו לקבוע מדיניות חדשה לחלוטין כלפי הערבים (בישראל ובשטחים; כהנא ואנשיו לא [א2] עשו [/א2] הבחנה ביניהם), היינו: לבצע את רעיון הטרנספר.",AFTER,VAGUE,AFTER,AFTER
4952,69.28.182,69,28,182," פרידמן [א1] התחיל [/א1] את עבודתו באוצר לפני 04 שנה, בהיותו סטודנט. פרידמן עדיין לא החליט היכן יעבוד, אבל אומר שאינו מודאג [א2] ומציין [/א2] שהוא משפטן.",BEFORE,BEFORE,,BEFORE
2140,37.9.36,37,9,36," טוטנהאם, [א1] המפגרת [/א1] ב-5 נקודות אחרי ארסנל במקום השלישי, תארח את ווימבלדון. פיטר ריד הוותיק, [א2] שהחליף [/א2] זמנית את קולין הארווי, יוביל ביום א את מנצסטר סיטי למשחק החוץ שלה בלידס.",VAGUE,AFTER,VAGUE,VAGUE
4050,50.2.13,50,2,13," אחרי הניצחון על מכבי תל אביב במוצאי שבת, [א1] נראה [/א1] לשחקני הגליל שהם בדרך הנכונה, אבל לירושלים ששמרה על הפיסגה, יעדים משלה. את התיסכול [א2] הוציאו [/א2] ברד ליף ו-ויין קמבל על עוזר המאמן גדי קידר.",,BEFORE,,BEFORE
2143,3.6.101,3,6,101," אני רוצה שהילד שלי יסתכל בעיניים של הילד הפגוע [א1] ויגיד [/א1] לו: ""אתה לא לבדך בירושלים, כי גם אנחנו הגרים בנווה-מונסון, אתך בלב איתן ביחד"". אני מוכן להעיד כי גם אבי ז""ל, שלקח אותי באוטובוס לירושלים בשנת תרצ""ח כאשר הערבים ירו על כביש באב אל-ואד, [א2] אמר [/א2] לי: ""אלי! אם תשמע יריות תתכופף, אבל אל תפחד"".",AFTER,AFTER,,AFTER
2692,15.23.73,15,23,73," אמש דוווח מפי מקורות פלשתיניים על תושב דיר אל באלח, בן 51, [א1] שנפצע [/א1] באורח בינוני והועבר לביה""ח תל-השומר. בשרות בתי הסוהר בצה""ל [א2] חוקרים [/א2] את נסיבות מותו של עטיה עבדלל עטי מחמוד זענין, בן 63, חקלאי מבית חנון, נשוי ואב לשבעה ילדים, שנמצא תלוי אתמול בתאו שבכלא עזה.",VAGUE,VAGUE,,VAGUE
4438,116.2.10,116,2,10," מכבי, שניצח גם במשחק הראשון בתל אביב 3 0, יתמודד בסיבוב השני עם פרטיזן בלגרד החזקה. בטורניר לקבוצות מחזיקות גביע [א1] הודח [/א1] הפועל בת ים, אחרי [א2] שנוצח [/א2] בגומלין 0 3 בידי הקבוצה הבלגית גנאק רוזלסר.",AFTER,AFTER,,AFTER
3658,26.8.27,26,8,27," לא רק שהם אוהבים את שפתם, אלא הם גם בעלי כושר ביטוי מעולה. ואף אם [א1] נאמרים [/א1] דברים נדושים, השפה הצרפתית ודרך הביטוי [א2] מעניקים [/א2] להם משמעות מיוחדת העטופה בהילה של תרבות.",,BEFORE,,BEFORE
4690,15.48.204,15,48,204," במחנה פליטים סמוך לשכם [א1] נפגע [/א1] תושב מקומי מפגיעת רימון גז מדמיע, שנורה בידי חיילים. מקורות פלשתיניים מסרו כי חיילים, שירדו ממיניבוס לבן בשכונת ראפידיה בשכם, ניפצו בעזרת אבנים זגוגיות של מכוניות [א2] חונות [/א2] של תושבים מקומיים, ביניהן גם את חלונות מכוניתו של דר מוסטפא מקבול.",VAGUE,,,VAGUE
4476,133.47.187,133,47,187," דא מיטה, שמונה שנים מזכיר מפלגתו ופעמיים ראש ממשלה, הפסיד במרוצת השנתיים האחרונות את שני התפקידים האלה. אם ינצח במשאל-העם על שיטת הבחירות, לא זו בלבד שהשפעתו [א1] תגדל [/א1] וידידיו במפלגה הקומוניסטית ייהנו מהשינוי, אלא שהוא [א2] יצליח [/א2] להחליש במידה ניכרת את יריבו הגדול, קראקסי, מזכיר המפלגה הסוציאליסטית, השלישית בגודלה באיטליה, שהשפעתה היא מעל ומעבר לכוחה בפרלמנט.",,EQUAL,,EQUAL
1376,108.24.73,108,24,73," בינתיים ראשון לציון מפתיעה. אומר ברקוביץ: ""גם בשנה [א1] שעברה [/א1] היינו הפתעת הליגה בסיבוב הראשון, ואתם יודעים מה [א2] קרה [/א2] בסופו של דבר.",,BEFORE,,BEFORE
1683,27.89.640,27,89,640," כאשר התחלתי להתעניין בפרשה, [א1] הסתבר [/א1] שדובר צה""ל מסר הודעות כוזבות. צה""ל כלל לא [א2] חקר [/א2] את התקרית משום שהיו מעורבים בה אנשי משמר הגבול ולא חיילים.",AFTER,AFTER,,AFTER
977,92.4.9,92,4,9, המטרה היא לאפשר לכל מבוטח לבחור את סכום הפנסיה שהוא [א1] רוצה [/א1] להבטיח לעצמו. במקביל לכך הקרן [א2] משקיעה [/א2] את כספי החברים באגרות חוב של האוצר המיועדות לקרנות פנסיה והנושאות ריבית גבוהה מזו של חברות הביטוח.,,EQUAL,,EQUAL
