,text,label,named_label
10," נילי מנדלר, שמסרה את הידיעה מפי הורים (אין יודעים אם מדובר בהורה בודד, או בקבוצת הורים מסוימת), כתבה כי ""אחד ההורים, שהחזיר למנהלת את הספח החוזר שבו הביע התנגדות להשתתפות ילדו בטיול, טען כי ""זהו חינוך פוליטי כאשר ילדינו < משמשים > אמצעי חי להפגנות"". לשם איזון הנושא, עלי לציין כי אני < נמנה > על ההורים שהביעו את הסכמתם לקיום הטיול.",3,VAGUE
11," לאחר סדרת חיפושים בדירות שבהן התגורר א-נוסייר, ממשיכים החוקרים להאמין שפעל לבדו. במסיבת עיתונאים שלשום < אמר > הקצין הממונה על החקירה, גוזף בורלי, כי ייתכן שהמניע לרצח לא < יתברר > לעולם.",0,BEFORE
12," עיקרי ההוראות החדשות לתוכנית המיתאר הארצית לדרכים שאושרו על ידי המועצה הארצית לתכנון ולבנייה ושטעונות עדיין אישור הממשלה הם הבחנה בין שלבי התכנון השונים וצרכיהם: ""רצועה לתכנון"" ו""רצועה לדרך"", פישוט הליכי מתן הקלות בקווי בניין, קביעת נוהלים ודרישות המלווים הגשת תוכניות לדרכים, קביעת ""דרך נופית"", מיסוד הגשת תסקירי השפעה על הסביבה באזורים בנויים וקביעת הסטייה המותרת בהתוויית דרך. דינה רצבסקי, מנהלת אגף תוכניות ארציות ומחוזיות במשרד הפנים, ציינה שהוראות אלו, אשר < תבואנה > במקום ההוראות שאושרו ב-6791, תשפרנה את התכנון המוקדם של הדרכים < ותזרזנה > את הליכי הדיון וההחלטה במוסדות התכנון בכל הנוגע לסלילת כבישים חדשים.",0,BEFORE
13," לטענת מנהל החברה, הודיע לו מנהל סניף הבנק כי הוא חייב לקבל הלוואה אך ורק באמצעות מלווה בשוק האפור, אדם בשם מנחם פרבר, שאם לא כן לא < יכבד > הבנק צקים של החברה. לטענת התובע, כתוצאה מהאילוץ של הפנייה לשוק האפור, בו שילם התובע ריבית דולרית של 93%, < הסתבכה > החברה.",3,VAGUE
14, הוא < ראה > את פניהם של רוצחים שחיסלו בבית הקפה כמה מיריביהם. הנער חוסל בידי נער אחר בן 61 < הקשור > במאפיה.,1,AFTER
15,"הקהילה היהודית של יוצאי קובה בארה""ב מארגנת מסע הזדהות עם מדינת ישראל. מדיווח < שהגיע > אתמול למשרד התיירות בירושלים, < ישתתפו > במשלחת כמאה מראשי הקהילה.",0,BEFORE
16,"המתח בין שר החוץ דוד לוי ושר הבינוי אריאל שרון < גבר > באחרונה, לאחר ששרון < סירב > להאריך את מינויו של צבי סלוצקי, מראשי מחנה לוי, כמנהל מחוז חיפה במשרד הבינוי והשיכון. סלוצקי, שהוא חבר מרכז הליכוד, מונה על ידי לוי כמנהל-בפועל של מחוז חיפה.",1,AFTER
17,"לונדון (רויטר). מרכז הכובד של הליגה האנגלית < עובר > השבת מהצמרת לתחתית, מהמובילה ליוורפול ליריבתה העירונית אוורטון, < המדורגת > 71 ומנסה להיחלץ מהמצוקה בהנהגת מנהלה החדש-ישן הווארד קנדל.",1,AFTER
18," נוצר רושם שהרשויות הנוגעות בדבר מתחמקות מלחקור את מותו של סאלם איסמעיל מובארק, שלא היה פעיל באינתיפאדה, לא היה מעורב באירוע ביטחוני כלשהו, ייחל לרגע שתיפסק האלימות היהודית-פלשתינאית כדי שיוכל לשוב למסלול חייו הקודם (הוא היה אמן גילוף בעץ), נהרג על מפתן ביתו כשהוא ובני משפחתו חורשים את חלקת אדמתם. הרושם הזה < התחזק > כשהתברר שמכתב ששיגר עו""ד דרוויש נאסר, פרקליטה של משפחת ההרוג, ללשכת שר המשטרה דאז, חיים בר-לב, לא < טופל > כלל, ושפניות של ח""כ דדי צוקר ושל אדי קאופמן (מעבידו של מובארק) לא נענו אף הן.",1,AFTER
19," הם ראו בו מעין שליח-אל, פרשן < המאיר > את דרכם ברוח דברי התורה. פעם אמר כהנא לד""ר אהוד שפרינצק, < שעקב > אחריו במשך 71 שנה במסגרת חקירתו את התנועות הקיצוניות בארץ, כי הדמות התנ""כית שממנה הוא שואב השראה היא דוד המלך; כמותו הוא נלחם ביום ולומד בלילה.",0,BEFORE
20," בתום יום של סיורים, קם אצלם לתחייה הרגש הפטריוטי היהודי-ישראלי. אני חייב להודות, שהלהט הציוני < שאחז > בהם < הקרין > גם עלי, הצבר מלידה, ומילא לי את המצברים לתקופה ארוכה.",0,BEFORE
21," החוקרים התלבטו, בין השאר, כיצד להבדיל בין יוזמה פרטית לציבורית, ולכך < נתן > פרוף נחום גרוס תשובה מקורית: אם העסק היה מרוויח גם כאשר ההשקעה ביסודה היתה של הון ציבורי, כמו למשל המושבות, הרי מדובר היה ביוזמה פרטית. אם העסק הפסיד וחדל להתקיים, < מדובר > ביוזמה פרטית קלאסית.",1,AFTER
22," לדבריהם, היו התנגשויות בין צה""ל לתושבים מקומיים החל משעות הבוקר המוקדמות, כאשר מאות רעולי פנים < יידו > אבנים על חיילים. קצין בכיר הגדיר את < המתרחש > ברצועה ביומיים האחרונים כמלחמה.",0,BEFORE
23," השאר < נפצעו > מגז, בהם ילדים רבים בגיל 01 ו21 וארבע נשים בהריון. נציג דובר צה""ל בפיקוד דרום < סירב > לפרט באילו כדורים נפצעו התושבים.",0,BEFORE
24," שיחה למנוי מסוים נקטעת באמצע. כשאתה < ממתין > לשיחה < העוברת > דרך מרכזייה במוסד גדול, הסיכויים לכך אף רבים יותר.",2,EQUAL
25," יריבתה העיקרית ארסנל < תיתקל > בקשיים בדרבי הלונדוני נגד קריסטל פאלאס, המדורגת רביעית. טוטנהאם, < המפגרת > ב-5 נקודות אחרי ארסנל במקום השלישי, תארח את ווימבלדון.",1,AFTER
26," המנצח < עבר > בקרית טבעון 01 ק""ם ב-37.40 דקות, בהקדימו ב-9 שניות את אמיר לין מסולם צור < שניצח > בשנה שעברה.",1,AFTER
27," ראש < הבקיע > שער שני במשחק (11 שלו העונה) בדקה ה-93. במהשך < הבקיע > פיטר בירדסלי את השער הרביעי, גם הוא ממסירה של האוטון.",0,BEFORE
28," האלוף מכבי תל אביב ישחק מחר בקפריסין נגד סלמינה פמגוסטה, במשחק גומלין בגביע האלופות (0 3 למכבי במשחק הראשון). הפועל בת ים, < שנוצח > במשחק הראשון בידי גנק רוזנסל הבלגית 3 0, < יקיים > הערב את הגומלין, גם כן בבלגיה.",0,BEFORE
29," ואילולא נתפסה ביהירותה המעצמתית לאשליה כי היא מסוגלת לתכנן מראש מי ומה יבואו בעיראק במקום סדאם חוסיין וקלגסיו, אפשר שהגנרל היה < משתחרר > מתהיותיו, ואולי אפילו מזכיר המדינה היה חדל לרקוד בשתי חתונות. אך לפני הכל ארה""ב חייבת להבהיר לעצמה לשם מה < הקימה > את העולם על רגליו, ולהשגתה של איזו מטרה שלחה למפרץ צבא, שמבחינת כוח האש הנישא בכליו שם בכיסו הקטן את כל צבאות הברית במלחמת העולם השנייה.",1,AFTER
30," מהעניין < נדף > ריח קשה. נוצר רושם שהרשויות < הנוגעות > בדבר מתחמקות מלחקור את מותו של סאלם איסמעיל מובארק, שלא היה פעיל באינתיפאדה, לא היה מעורב באירוע ביטחוני כלשהו, ייחל לרגע שתיפסק האלימות היהודית-פלשתינאית כדי שיוכל לשוב למסלול חייו הקודם (הוא היה אמן גילוף בעץ), נהרג על מפתן ביתו כשהוא ובני משפחתו חורשים את חלקת אדמתם.",1,AFTER
31," בישיבה < הוחלט > כי המשרד לאיכות הסביבה ישלם למשרד התעשייה והמשרד חצי מיליון ש""ח עבור מרכזיית הטלפונים של תמ""ס שתועבר יחד עם המבנה לרשות המשרד לאיכות הסביבה. מרינוב זעם על ההחלטה, ובמשרד לאיכות הסביבה טענו כי לא < ימלאו > אותה.",0,BEFORE
32," המעשה < הקובע > הוא רצון האל, קבע, וגם אם הוא עצמו יגיע לראשות הממשלה יבוא אסון גדול על מדינת ישראל אם תושביה לא יחזרו בתשובה. כהנא חזה את אחרית הימים כאפשרות ממשית קרבה והולכת, באופן האפוקליפטי שבו היא מתוארת בתנ""ך: עם ישראל מביא את עצמו עד לסף כליה, בגלל נטישתו את ה; מלחמת גוג ומגוג מתרגשת ובאה על ארץ ישראל; העם < מכיר > בחטאו, חוזר בתשובה וזוכה לגאולה שלמה.",3,VAGUE
33," להלן הודיע הבנק ללקוחה כי יעביר את הכספים < שהצטברו > לזכותה, כולל כל ההטבות, לתוכנית חדשה (""כוח תשורת המשך""), כאשר המדד היסודי לגבי התוכנית החדשה יהיה המדד שיפורסם בגין אוקטובר 0991. להודעה < צורף > עלון המפרט את תנאי תוכנית ההמשך.",0,BEFORE
34," שער השיוויון של צלסי הובקע בבעיטת-11 של דניס ווייס, שקודם לכן בעט את הכדור < שפגע > על קו בשער בידו של בלם נוריץ יאן באטרוורת. קפספבינאולדהאם < נותרה > ראשונה בליגה השניה עם 83 נקודות אחרי ניצחון 4 1 על ווטפורד, המדורגת אחרונה עם 9 נקודות בלבד.",0,BEFORE
35," בארץ < שיחרר > בלמים אצל קבוצות השוליים, והצליח להניח על השולחן רעיונות שגם אנשים מן היישוב הוגים בהם, אך אינם מעיזים לבטא אותם (עד לעת האחרונה). הוא < ניגן > באופן ציני על הפער העדתי.",3,VAGUE
36," התביעות שהוגשו לבית-משפט השלום ברחובות מסתכמות בכמיליון ש""ח. פרקליט התובעים, עו""ד יצחק סימון, מציין בכתב התביעה כי דיירי הבניינים (התובעים) התקשרו לרכישת דירותיהם עם חברת זכריה דרוקר, אשר לימים < נרכשה > על-ידי סולל בונה וגם התחייבויותיה < הועברו > לנתבעת.",0,BEFORE
37," כהנא < צדק > בתחזיותיו. לפני 51 שנה ניבא בספרו הראשון, ""האתגר"", את האינתיפאדה, והעריך כי הציבור הישראלי < יטה > ימינה.",3,VAGUE
38," לב מכבי פ""ת מצמרת הליגה לא < הצליח > לנצל יתרונו כדי לגבור על מכבי יפו ממרכז הטבלה. האורחים שעלו בהרכב הגנתי הפתיעו בעלייתם ליתרון במחצית הראשונה, אולם המקומיים, < שפתחו > את המחצית השניה בסערה, הצליחו להשוות והרבו להחמיץ ממצבים נוחים.",0,BEFORE
39," אחד מהם שהתנגד למעצר < נפגע > תוך כדי ביצוע המעצר"". מקורות פלשתיניים < טענו > אתמול כי בשכונת ראפידיה בשכם נפצעה אישה בת 44, סמירה דבעי, מפגיעת אבן בראשה, ואושפזה בבית החולים בראפידיה.",3,VAGUE
40," בכך הלך במסלול שנוסה במדינות אחרות: מנהיגים בעלי תפיסת עולם והתנהגות טוטליטריות < נשענים > על כמיהתה של אוכלוסיית השוליים להיות שותפת לפעילות קיבוצית הקורעת בפניה פתח לעלייה במעמד החברתי, ועל הפחת התלהבות מלאכותית בעזרת תעמולה מטרפת. ההתלהבות, אמר ההיסטוריון ריימון ארון, < מקנה > לאדם אשליה שיש לו חלק בחיי הכלל ובמסע לקראת ניצחון.",3,VAGUE
41," המלצה לפיטורי שר או נושא משרה פוליטית, מצד בית המשפט העליון או מצד ועדת חקירה נופלת תמיד על אוזניים ערלות; אבל כשאפשר להטיל את האשמה על קצין צבא או משטרה, מוטל גורלם של אלה על כף המאזניים. אני < תמה > על ""הארץ"" < שהזדרז > לשחק לידיהם של הפוליטיקאים, המעוניינים להיפטר מהמפכ""ל הנוכחי.",1,AFTER
42,"4 מיליון ש""ח. פרקליטי התובעים, עו""ד מיכאל לב, מציין בכתב התביעה כי מדובר בתופעה קיצונית < ומדהימה > בחומרתה של מעשים לא-חוקיים מצד הנתבעים, < שהביאו > להתמוטטותה של החברה ולהתמוטטות כללית של התובע (מנהל החברה), אשר לאחר שנים ארוכות של ניהול עסק רווחי נאלץ למכור את ביתו ורכושו ונותר ללא קורת גג, רכוש, כספים וכבוד.",0,BEFORE
43," מהעניין נדף ריח קשה. נוצר רושם שהרשויות הנוגעות בדבר מתחמקות מלחקור את מותו של סאלם איסמעיל מובארק, שלא היה פעיל באינתיפאדה, לא היה מעורב באירוע ביטחוני כלשהו, ייחל לרגע < שתיפסק > האלימות היהודית-פלשתינאית כדי שיוכל לשוב למסלול חייו הקודם (הוא היה אמן גילוף בעץ), < נהרג > על מפתן ביתו כשהוא ובני משפחתו חורשים את חלקת אדמתם.",1,AFTER
44," לקראת הבחירות של נובמבר 8891, כאשר סקרי דעת הקהל < ניבאו > לו הצלחה של שלושה עד שבעה מנדטים, האמינו מעריציו כי יד אלוהים מפלסת את מצעדו אל כס שר הביטחון. הם היו משוכנעים שתוצאות הבחירות יחייבו את שיתופה של ""כך"" בממשלה, וכי כהנא יהיה בעמדת מיקוח < שתאפשר > לו לקבוע מדיניות חדשה לחלוטין כלפי הערבים (בישראל ובשטחים; כהנא ואנשיו לא עשו הבחנה ביניהם), היינו: לבצע את רעיון הטרנספר.",0,BEFORE
45," במדינה שבה יש כבר עתה מאות רופאים עודפים, והעומדת לקלוט אלפי רופאים חדשים, מתעקש האיגוד המקצועי להגן על שכרם של עמיתיו הבכירים, המשתכרים פי ארבעה וחמישה מן השכר הממוצע במשק (10000 שקלים בחודש ויותר), ואף להוסיף עליו. התוצאה הבלתי < נמנעת > תהיה, שמוסדות הרפואה ייזהרו < ויישמרו > מקליטת רופאים חדשים מקרב העולים.",0,BEFORE
46," שפרינצק < סיפר > שכאשר תהה באוזני כהנא על תבונת מהלכיו הפוליטיים, השיב לו מנהיג ""כך"" בנימה של מי שהשליחות האלוהית חזקה ממנו: ""זו דרכי, כך אני מרגיש, זה מה שנכון בעיני לעשות. מה שאני < עושה > זו הפרשנות הנכונה ביותר של ההלכה"".",3,VAGUE
47," הפועל ירושלים < הותיר > את מכבי נתניה אחת משלוש הקבוצות היחידות שעדיין לא השיגו ניצחון, כאשר גבר על הנתנייתים 1 0 ודירדר אותם לשכנות - במצוקה עם שני סוגרי הטבלה מחולון ומכפר סבא. הקבוצה הסימפטית מכפר סבא הפכה למסננת של הליגה וכל קבוצה מייחלת להתמודד עם כפר סבא, < המחלצת > את יריבותיה מהמשבר.",1,AFTER
48," הוועד דורש במכתבו להיות שותף בכל החלטה על עתיד החברה ובמיוחד לגבי מכירה אפשרית של מניותיה וכן לאפשר לעובדים להשתתף במכרז במסגרתו יוצאו למכירה מניות של החברה וזאת בתנאים שווים מול משקיעים אחרים. פנייתו של ועד העובדים למנכ""ל רשות החברות הממשלתיות באה בהמשך למכתב שחברי הוועד < שיגרו > לשר האוצר יצחק מודעי ולשר התחבורה משה קצב, לפני 01 ימים, שבו < דרשו > כי חלק ממניות הממשלה שיונפקו בבורסה לניירות ערך, יוקצו לעובדים בתנאים מועדפים, כפי שנעשה לגבי חברת ""בזק"".",2,EQUAL
49," בשטחים < התקיימה > ביום שישי שביתה כללית ביום השנה להצהרת בלפור. אתמול הסיר צה""ל את העוצר מרוב שטחי הגדה המערבית, < שהושמו > בעוצר מונע לרגל יום הצהרת בלפור ובעקבות אירועים אלימים.",1,AFTER
50," בעקבות המשפט נגד ראש הגסטאפו בלין, קלאוס ברבי, עלה מחדש שמו של פול טביה. הוא היה ממפקדי המיליציה הצרפתית הידועה לשמצה בליון, נטל חלק פעיל באקציות של הגסטאפו נגד לוחמי מחתרת ויהודים, < עינה > עצורים, < שדד > את רכושם, והורה על הוצאתם להורג של כמה מקורבנותיו בלי משפט.",0,BEFORE
51," נילי מנדלר, שמסרה את הידיעה מפי הורים (אין יודעים אם מדובר בהורה בודד, או בקבוצת הורים מסוימת), < כתבה > כי ""אחד ההורים, שהחזיר למנהלת את הספח החוזר שבו הביע התנגדות להשתתפות ילדו בטיול, טען כי ""זהו חינוך פוליטי כאשר ילדינו משמשים אמצעי חי להפגנות"". לשם איזון הנושא, עלי לציין כי אני < נמנה > על ההורים שהביעו את הסכמתם לקיום הטיול.",1,AFTER
52," הן ביקשו לתחום את המשפט למסגרתו המשמעתית, והזכירו לשופטים כי פרקליט מחוז ירושלים קבע שאי-אפשר להעמיד את שני הנאשמים לדין פלילי על הריגה, משום שאין יכולת להוכיח כי היריות < המיוחסות > להם הן שהרגו את מובארק. לאחר סדרה לא קצרה של ישיבות, שבהן < פרשה > התביעה את ראיותיה, הגיעו שני הצדדים להסכם: גיליון האישום תוקן הושמטה ממנו הפסקה שהזכירה את מותו של מובארק ונקבע כי היריות שירו השניים לא גרמו לסיכון חיי אדם.",0,BEFORE
53," הגנרל נורמן שוורצקוף, מפקד הגייסות האמריקאיים הנערכים מול עיראק, מעריך כי ""הכוחות שבפיקודו מסוגלים למחוק את עיראק מן המפה"". ואולם הוא < מביע > ספק (בראיון < שהעניק > לפני ימים אחדים ל""ניו יורק טיימס"") האם זה היה ""משרת את צורכי מאזן הכוחות לטווח ארוך באזור"".",2,EQUAL
54," מלבד המשחק בין ארסנל לקריסטל פאלאס, הסתיימו עוד שלושה מאבקים ללא שערים: דרבי (מקום 91) מנצסטר יונייטד, סנדרלנד קובנטרי, ומאבק התחתית בין שפילד יונייטד לאוורטון עם המנהל החדש-ישן האוורד קנדל שהותיר את המארחים ללא ניצחון ליגה. אסטון וילה, < שהודחה > בשבוע שעבר מגביע אופ""א בידי אינטר מילאנו, הבקיעה אתמול שער ראשון בליגה אחרי חודש מרגלי הבלם הדני קנט נילסן בדקה ה-16, אבל < הסתפקה > ב-1 1 במגרשה עם נוטינגהאם שהישוותה בדקה ה-87.",0,BEFORE
55," מצה""ל נמסר כי ממצאי תחקיר ראשוני לא < העלו > דבר וכי היום יתבצע תחקיר מקיף. שלושה בקבוקי תבערה הושלכו אמש לעבר מפקדת כוחות צה""ל ברצועה, < הממוקמת > בעיר עזה.",1,AFTER
56," זה הדבר האחרון שחוסיין רוצה בו, אבל הוא לא < בולם > את האווירה הקיצונית וכשמתחילה הידרדרות לאורך הגבול עם ישראל והשלטון הירדני מאפשר לגורמים קיצוניים לפעול באופן עצמאי, הוא עלול לאבד את הריבונות הירדנית וליצור תהליך של לבנוניזציה של ירדן. התופעה הזו מעניינת, כי אם אמנם יוברר בוודאות שאנשי כוחות הביטחון הכללי (משטרת הביטחון) נמנו על המחבלים, זה < מעיד > על כך שגם קיצוניים איסלמים רדיקליים, הצליחו לחדור אל הגוף האחראי על ביטחון הפנים בירדן.",0,BEFORE
57," קצין בכיר < הגדיר > את המתרחש ברצועה ביומיים האחרונים כמלחמה. דובר צה""ל < דיווח > על 05 פצועים בלבד.",3,VAGUE
58," ובינתיים ממשיך ועד העובדים להמטיר על חבריו חוזרים המופנים נגד ההנהלה. בחוזר < שהופץ > לפני ימים מספר בין כל עובדי הבנק נאמר, בין השאר, כי ב""מפעל סולתם שיסתה ההנהלה כלבים בעובדים, וכאן היא < משסה > קבוצות עובדים אחת בשנייה.",1,AFTER
59," כך עשה גם בליגה להגנה בברוקלין. בארץ < שיחרר > בלמים אצל קבוצות השוליים, והצליח להניח על השולחן רעיונות שגם אנשים מן היישוב הוגים בהם, אך אינם < מעיזים > לבטא אותם (עד לעת האחרונה).",1,AFTER
60," הם היו < משוכנעים > שתוצאות הבחירות יחייבו את שיתופה של ""כך"" בממשלה, וכי כהנא יהיה בעמדת מיקוח שתאפשר לו לקבוע מדיניות חדשה לחלוטין כלפי הערבים (בישראל ובשטחים; כהנא ואנשיו לא עשו הבחנה ביניהם), היינו: לבצע את רעיון הטרנספר. החלטת בג""ץ שאישרה את פסילת רשימתו של כהנא < שמה > קץ לחלום, והמיטה מהלומה אנושה על ""כך"".",0,BEFORE
61," מדוע נכשלה המדיניות, ובעיקר בתחום התעסוקה? השבועון ""אקונומיסט"" משוכנע כי ההסבר העיקרי הוא שממשלת ניו זילנד היתה נועזת, אך לא נועזת דיה: היא נמנעה מלטפל בהיבט חיוני שבלעדיו לא < תצליח > שום רפורמה, דהיינו מערכת העבודה, השכר והאיגוד המקצועי. בתחום זה לא נעשה דבר: הסכמי העבודה נשארו קשוחים כשהיו, השכר נקבע בשיטות ריכוזיות על בסיס הצמדות וללא כל זיקה למצב בשוק העבודה, והאיגודים המקצועיים < המשיכו > להפעיל זכויות בלעדיות במשא ומתן עם המעסיקים על מקומות העבודה ותנאיה, תוך התעלמות ממצב המשק.",1,AFTER
62," בספר ""רועה הזאבים"", מאת אלכסנדר דיומא האב, כורת הסנדלר טיבו, אדם שאביו דאג להעניק לו חינוך ""למעלה ממעמדו"", ברית עם השטן, המופיע בדמות זאב שחור ואימתני. השטן, בהגינותו הרבה, < מבהיר > מראש, כי לא יוכל להעניק לטיבו את כל הטוב < שיחפוץ > בו, אלא רק לדאוג לכך שכל הרע שיאחל לזולתו אמנם יתגשם.",0,BEFORE
63," הוחלט שהחברה < תכין > הערכה כלכלית הנוגעת לשוויה. עוד התבקשה כי""ל להכין את שורת המגבלות שיש להציב בפני ""גרייט לייקס"", < המבקשת > לרכוש את השליטה בחברה.",1,AFTER
64," אחד החוקרים מסר כי קארן א-נוסייר, אשת החשוד, < אמרה > שבעלה היה לאחרונה בדיכאון. הממונה על החקירה מסר כי < התגלה > שא-נוסייר היה חובב אקדחים, ובדירתו נמצאו חוברות רבות של מגזינים המיועדים לשכירי חרב.",3,VAGUE
65," פרוף ישראל קולת טען כי ד""ר ארתור רופין, שעמד בראש המשרד הארצישראלי, < הראה > את הדרך לשילוב בין יוזמה פרטית לציבורית. בין היזמים הפרטיים בתחילת המאה ובמאה שעברה < הוזכרו > הטמפלרים, שלמרות מספרם המועט (2,000 בתקופת השיא שלהם) השפיעו השפעה מכרעת על הכלכלה החופשית היהודית, ובעיקר בתחום הבנייה במושבות.",0,BEFORE
66," לכן פלט מהמעגל הקרוב אליו אנשים כמו יואל לרנר, אלי אדיר ויוסי דיין, שיצגו שכבה חברתית שונה מזו שעמה נמנים רוב אנשי ""כך"". הואיל וזה היה דפוס מנהיגותו, לא צמח לו < ממלא > מקום, ועם הרצחו < תגווע > תנועת ""כך"" לחלוטין.",0,BEFORE
67," כהנא אומר בו לערבים שהוא איננו < שונא > אותם. הוא אוהב יהודים < ומבין > בהחלט שהערבים מתעבים את היהודים, ורואים בהם זרים שבאו להשתלט על ארצם ועל אדמתם.",1,AFTER
68," ובינתיים ממשיך ועד העובדים להמטיר על חבריו חוזרים המופנים נגד ההנהלה. בחוזר < שהופץ > לפני ימים מספר בין כל עובדי הבנק נאמר, בין השאר, כי ב""מפעל סולתם < שיסתה > ההנהלה כלבים בעובדים, וכאן היא משסה קבוצות עובדים אחת בשנייה.",1,AFTER
69," בחצי הגמר < ניצח > פרקיס את בועז מרנשטיין 6 4, 6 7, 6 4. ויידנפלד < ניצח > את גריפין מארה""ב 6 3, 6 0.",3,VAGUE
70," כתוצאה מכך נכנסו הסוכנים למשא-ומתן עם חברות הגז, ובכל חברה הושג הסדר שונה. ההסדרים עם החברות לא סיפקו את הסוכנים, < שטענו > כי עדכוני העמלות אינם < מכסים > את הוצאותיהם בפועל, וכי יש מקום לעדכונים נוספים.",1,AFTER
71," המאמן רז ביקש שנבחרת הנוער תתמודד עם האולימפיים של פולין, אך המשחק לא < יצא > לפועל בגלל חוסר תיאום לגבי המועד. בינתיים < התבטלה > גם תכניתו של רז לצאת לטורקיה כדי לעקוב אחרי נבחרת הנוער (ב) של ארץ זו.",0,BEFORE
72," מהעניין נדף ריח קשה. < נוצר > רושם שהרשויות הנוגעות בדבר מתחמקות מלחקור את מותו של סאלם איסמעיל מובארק, שלא היה פעיל באינתיפאדה, לא היה מעורב באירוע ביטחוני כלשהו, ייחל לרגע שתיפסק האלימות היהודית-פלשתינאית כדי שיוכל לשוב למסלול חייו הקודם (הוא היה אמן גילוף בעץ), < נהרג > על מפתן ביתו כשהוא ובני משפחתו חורשים את חלקת אדמתם.",1,AFTER
73," ואכן, כהנא היה בראש וראשונה מורה רוחני לצעירים < שהתלקטו > סביבו. הם < ראו > בו מעין שליח-אל, פרשן המאיר את דרכם ברוח דברי התורה.",2,EQUAL
