text,label,named_label
" ימים ספורים קודם לכן נרצח בבית קפה ליד נאפולי נער בן 12, שעבד מאחורי הדלפק. הוא [א1] ראה [/א1] את פניהם של רוצחים [א2] שחיסלו [/א2] בבית הקפה כמה מיריביהם.",2,EQUAL
"לונדון (מיוחד ל""הארץ""). מרי רובינסון, פרקליטה בת 64, שנבחרה לנשיאת אירלנד ביום חמישי בלילה, קבעה תקדימים בתחומים רבים: היא האישיות הראשונה [א1] שנבחרה [/א1] לכהונה זו שאינה נמנית עם המפלגה השלטת, היא האשה הראשונה בתפקיד, והיא הנשיא הצעיר ביותר [א2] שנבחר [/א2] אי-פעם ברפובליקה האירית.",3,VAGUE
" מעריכים כי פוטנציאל הביקוש של הקבלנים וחברות הבנייה להשתלבות בעבודות הבנייה להיקפים של כ5405 אלף יחידות-דיור. התאחדות הקבלנים [א1] ביקשה [/א1] מהקבלנים ומחברות הבנייה להצהיר לגבי היקף הבנייה אותה מבקשים הם לבצע בדרך של בנייה יזומה על קרקעות אשר יוקצו להם על-ידי משרד השיכון, או במסגרת של בנייה תקציבית [א2] שתהווה [/א2] אחד מן המסלולים שיופעלו על-ידי המשרד.",0,BEFORE
" נוסף לכך, ""הנשים אינן מדברות אצל הרופא"". הן [א1] יושבות [/א1] לעתים קרובות בראש [א2] מורכן [/א2] ובעיניים מושפלות.",2,EQUAL
" כהנא היה אגוצנטרי מכדי לחלק את כוחו הפוליטי עם גורם אחר. לכן [א1] פלט [/א1] מהמעגל הקרוב אליו אנשים כמו יואל לרנר, אלי אדיר ויוסי דיין, [א2] שיצגו [/א2] שכבה חברתית שונה מזו שעמה נמנים רוב אנשי ""כך"".",1,AFTER
" היו כמה תחנות בדרך גלגוליה של הפרשה, [א1] שעוררו [/א1] חשד ליחס מופקר לחיי אדם מצד יחידות משמר הגבול הנוגעות בדבר, ולגישה צינית מצד שלטונות המשפט והחקירה. מובארק [א2] נהרג [/א2] ב""יום האדמה"", 03 במארס 9891.",1,AFTER
"באטיניול מצרפת, דייבי מבריטניה ואיי-סי-אף קייזר מארצות-הברית [א1] יקימו [/א1] חברה להנדסה ובנייה בשוק האלומיניום. בין השאר [א2] יקימו [/א2] מפעלים לזיקוק ולהתכה של אלומיניום.",0,BEFORE
" כהנא צדק בתחזיותיו. לפני 51 שנה ניבא בספרו הראשון, ""האתגר"", את האינתיפאדה, [א1] והעריך [/א1] כי הציבור הישראלי [א2] יטה [/א2] ימינה.",0,BEFORE
" ואם העסק ממשיך להתקיים, למרות ההפסד הרב שהוא צובר, הרי [א1] מדובר [/א1] ביוזמה ציבורית. פרוף יהושע בן-אריה [א2] קבע [/א2] כי בארץ-ישראל, בין שהיה מדובר ביהודים או זרים, אנשי היישוב החדש או היישוב הישן, היוזמות העסקיות תמיד היו משולבות באידיאלים אלה או אחרים.",0,BEFORE
" הרוח [א1] יצאה [/א1] ממפרשיה של התנועה ופעילותה הציבורית דעכה. אנשיה שבו [א2] וצצו [/א2] רק על תקן של מלבי יצרים (יעילים, יש לומר) בלוויות, בהפגנות ובאזכרות בעקבות מעשי רצח ערביים ביהודים.",0,BEFORE
"דירקטוריון חברת החשמל יתכנס בשבוע הבא לדון בנושאים שוטפים ודחופים, לפני החלטת בג""ץ בעניין מינויו של כיו""ר הדירקטוריון. [א1] מעריכים [/א1] שהישיבה [א2] תנוהל [/א2] ע""י שלום עצמו.",0,BEFORE
" בין המסמכים [א1] שהוחרמו [/א1] בדירותיו לא נמצא רשיון לנשיאת כלי נשק. המספר הסידורי על קת אקדח המגנום, שבו ירה על-פי החשד א-נוסייר בכהנא, נמחק ולכן לא הצליחו החוקרים לגלות היכן [א2] קיבל [/א2] אותו.",1,AFTER
" החלפתו של ארמלי הגרוע במחצית השניה ובעבר השני החלפתו התמוהה של איציק זוהר ממכבי גרמו לשינוי ביחסי הכוחות, כאשר שחקני חולון החלו ללחוץ על שער מכבי [א1] וצמצמו [/א1] בדקה ה-75 בבעיטת 11 של אבי פס לאחר הכשלת אוחנה ברחבה. המכבים [א2] נסוגו [/א2] כדי לשמור על יתרונם, גם דריקס ירד לעזרת ההגנה ואנדריי בל ומרכוס בכושר טוב שמרו על ניצחון מכבי.",3,VAGUE
לפני כמה שבועות [א1] הזמינה [/א1] להקת חובבים של המושבה האמריקאית הקטנה בריאד קבוצת חיילים של צבא ארצות הברית להופעה שנערכה לכבודם בבניין השגרירות. אחרי משא ומתן ממושך [א2] נענו [/א2] שלטונות הצבא לבקשתן של רשתות הטלוויזיה האמריקאיות לצלם את האירוע הצבעוני.,0,BEFORE
" עקב מצבם הכלכלי ביקשו הנאשמים לפרוע את הקנס בתשלומים. מותו של סאלם איסמעיל מובארק רק [א1] ריחף [/א1] בחלל האולם שבו התנהל המשפט, אך לא [א2] נחת [/א2] על שולחנם של השופטים תת-ניצב אברהם מלכה, ניצב משנה זיווה פרי-הר, וסגן-ניצב משה אלכסנדרוני.",2,EQUAL
 נמסר כי שלושה אנשים הועברו לבית החולים ו-01 אחרים נפגעו בצורה קלה. בתיגרה הגדולה [א1] יידו [/א1] אוהדים אבנים [א2] וגרמו [/א2] נזקים למכוניות.,0,BEFORE
" אני מוכן להעיד כי גם אבי ז""ל, שלקח אותי באוטובוס לירושלים בשנת תרצ""ח כאשר הערבים ירו על כביש באב אל-ואד, [א1] אמר [/א1] לי: ""אלי! אם תשמע יריות תתכופף, אבל אל תפחד"". ולכן אני אומר לכל ילדי ישראל: אל תפחדו! סעו לירושלים, אפילו אם [א2] יורים [/א2] או אם מתעופפים שם סכינים.",3,VAGUE
" [א1] מעריכים [/א1] כי פוטנציאל הביקוש של הקבלנים וחברות הבנייה להשתלבות בעבודות הבנייה להיקפים של כ5405 אלף יחידות-דיור. התאחדות הקבלנים ביקשה מהקבלנים ומחברות הבנייה להצהיר לגבי היקף הבנייה אותה מבקשים הם לבצע בדרך של בנייה יזומה על קרקעות אשר יוקצו להם על-ידי משרד השיכון, או במסגרת של בנייה תקציבית שתהווה אחד מן המסלולים [א2] שיופעלו [/א2] על-ידי המשרד.",0,BEFORE
" מנכ""ל הפועל יעקב אבימור הבהיר אתמול למזכיר מועצת פועלי בית שאן פיני קבלו שאם השחקנים [א1] יממשו [/א1] את איומם לענוד סרט שחור ולעמוד דקת דומיה, הם יועמדו לדין משמעתי בפני ועדת המשמעת העליונה של מרכז הפועל. קבלו אמר שהנהלת הפועל בית שאן [א2] מתייחסת [/א2] בחומרה רבה ומביעה שאט נפש מהרעיון של כמה שחקני הקבוצה לעמוד דקת דומיה ולענוד סרט שחור במשחק נגד אום אל-פאחם.",1,AFTER
" ובכן, [א1] התברר [/א1] שבעלי הרעיונות המעניינים היו אנשים כמו רוברט בורק, מרטין פלדסטיין, צארלס מאריי ואלן בלום שגם הודות לתמיכה הפילנטרופית שקיבלו בשנות ה70 ואו בראשית שנות ה80 אין צורך להציגם בציבור. אם אתה משמיע באוזני השמרנים רמז לכך שקריסטול ושות [א2] הפכו [/א2] את הקערה על פיה, ולכן כיום כסף ימני הוא החולש בכיפה בעולם הרעיונות, הם יפנו אותך לרשימת הקרנות הפילנטרופיות הגדולות ביותר, ויזכירו לך שמבין הקרנות השמרניות אולין, סמית-ריצרדסון, לינד והרי בראדלו, פיו, שרה סקאיף רק פיו כלולה ברשימת הגדולות.",0,BEFORE
" ""איש לא [א1] אמר [/א1] הבה ניצור אווירה שבה נוכל לבחור נשיא שמרן"", זוכר לזלי לנקובסקי, אחד השותפים למזימה. לנקובסקי, [א2] שניהל [/א2] את קרן סמית-ריצרדסון וכיום מנהל את מכון הדסון, אומר כי הרעיון לא היה כל-כך לתת מענקים לחשיבה הימנית כשלעצמה, אלא לתגמל חלופות לכל החשיבה השמאלית שקיבלה עד אז תגמולים ומימון.",3,VAGUE
" [א1] מתברר [/א1] שדרושה תרבות מגובשת וכושר ביטוי מעולה כדי ליצור תוכנית ספרותית-אמנותית. אבל אצלנו כושר הביטוי נמצא בשפל המדרגה, והתרבות המגובשת היחידה שאנו [א2] מכירים [/א2] היא זו של המקומונים.",1,AFTER
" הם [א1] סבורים [/א1] שיש אירוניה בכך שמענקי קרנות באים בדרך כלל מטיפוסים שמרניים, אך הקרן לובשת לעיתים קרובות חזות של שמאלה מהמרכז בהנהגת הפילנטרופואידים (המונח שטבע דווייט מקדונלד בקרן פורד), שבסופו של דבר מנהלים אותם. קריסטול וחבריו השמרנים עשו שני דברים: ראשית, הם [א2] עודדו [/א2] חברות לתעל את הפילנטרופיה שלהן ליוצאים מן הכלל של כלל זה, כמו קרן גון מ.",0,BEFORE
" בעייתה של ארה""ב והדבר אמור במשנה תוקף לגבי יתר ארצות המערב לא נעוצה בחוסר יכולת, במונחי עוצמה, להעמיד את עיראק במקומה. ואילולא [א1] נתפסה [/א1] ביהירותה המעצמתית לאשליה כי היא מסוגלת לתכנן מראש מי ומה יבואו בעיראק במקום סדאם חוסיין וקלגסיו, אפשר שהגנרל היה משתחרר מתהיותיו, ואולי אפילו מזכיר המדינה היה [א2] חדל [/א2] לרקוד בשתי חתונות.",0,BEFORE
 הוא הרי נשבע להגיע לעימותים עם הערבים בכפריהם. כפוליטיקאי ארצי מאוד [א1] ראה [/א1] מאיר כהנא את עצמו [א2] כממלא [/א2] מקומו של מנחם בגין.,2,EQUAL
" לב מכבי פ""ת מצמרת הליגה לא הצליח לנצל יתרונו כדי לגבור על מכבי יפו ממרכז הטבלה. האורחים [א1] שעלו [/א1] בהרכב הגנתי הפתיעו בעלייתם ליתרון במחצית הראשונה, אולם המקומיים, שפתחו את המחצית השניה בסערה, הצליחו להשוות [א2] והרבו [/א2] להחמיץ ממצבים נוחים.",0,BEFORE
" לדבריו הוקם באלביט גוף שמפקח על הקניות [א1] ובודק [/א1] כל הזמנה המיועדת לחו""ל, אם ניתן לרכוש אותה בארץ. עוד נמסר כי אלביט [א2] תעביר [/א2] לרשות לשיתוף פעולה את רשימות החברות בחו""ל שמהן היא קונה מוצרים, כדי שהרשות תפעל להשגת רכש גומלין מאותן חברות.",0,BEFORE
" אמנם ירושלים [א1] שיחקה [/א1] רק בשני מישחקי חוץ מתוך שבעה, אבל ניצחה בהם את מכבי תל אביב (98 66) ואת הפועל תל אביב (79 38). נקודה נוספת הראויה לציון, היא שהפועל ירושלים משחק תמיד נגד קבוצה שנחה וגם ""ריגלה"" אחריה ובכל זאת [א2] הצליחה [/א2] להפגין עליונות, פרט למעידה בבית נגד מכבי רמת גן.",3,VAGUE
" כוויית היא אוסטריה, [א1] וכמסתמא [/א1] אפילו ברנאדט שכח אולי רצה לשכוח כיצד מתקדם הטור הפוליטי בנוסח שנות ה03. היו זמנים שחיילים בארצות שבהן נכפפו אנשי צבא לאזרחים עסקו בשלהם, [א2] והותירו [/א2] את הפוליטיקה לממונים הפוליטיים.",1,AFTER
" המעשה הקובע הוא רצון האל, קבע, וגם אם הוא עצמו יגיע לראשות הממשלה יבוא אסון גדול על מדינת ישראל אם תושביה לא יחזרו בתשובה. כהנא חזה את אחרית הימים כאפשרות ממשית קרבה והולכת, באופן האפוקליפטי שבו היא מתוארת בתנ""ך: עם ישראל מביא את עצמו עד לסף כליה, בגלל נטישתו את ה; מלחמת גוג ומגוג [א1] מתרגשת [/א1] ובאה על ארץ ישראל; העם מכיר בחטאו, [א2] חוזר [/א2] בתשובה וזוכה לגאולה שלמה.",0,BEFORE
" מעולם לא עלה בידי כהנא להזעיק רבבות בני אדם לאסיפה או הפגנה כלשהי, אבל אחרי ארונו בירושלים [א1] הלכו [/א1] המונים. חוסר יחס זה בין ממדיו המבוטלים כמעט של הגרעין המאורגן לבין גל האהדה האדיר אשר פרץ החוצה בעקבות הירצחו, מעורר תמיהה גם אם [א2] נזכור [/א2] שפעם ריכז מספיק קולות כדי להיבחר לכנסת.",0,BEFORE
" ד""ר חיים גרבר [א1] טען [/א1] שהערבים גילו אז תושייה כלכלית ויוזמה תעשייתית שהתבטאה, בין השאר בהקמת בתי-חרושת לסבון בשכם וערים אחרות. ד""ר דן גלעדי [א2] הדגיש [/א2] שלמרות שההיסטוריוגרפיה היהודית עוסקת בעיקר בהתיישבות החקלאית היהודית, מרבית האוכלוסייה היהודית היתה עירונית מובהקת לכל אורך התקופה.",2,EQUAL
" כוויית היא אוסטריה, וכמסתמא אפילו ברנאדט שכח אולי [א1] רצה [/א1] לשכוח כיצד מתקדם הטור הפוליטי בנוסח שנות ה03. היו זמנים שחיילים בארצות שבהן נכפפו אנשי צבא לאזרחים [א2] עסקו [/א2] בשלהם, והותירו את הפוליטיקה לממונים הפוליטיים.",1,AFTER
 עוזר המאמן של הגליל אילן קובלסקי אומר שקידר מעד [א1] ונחבט [/א1] במדרגות. קידר [א2] שסובל [/א2] מפגיעה בלסת התקשה לאכול והתבקש לנוח שלושה ימים.,0,BEFORE
" נציג אחת הרשתות שסיפר לי את הסיפור מעיד, שהמראה בחוף תל אביב נועז פי כמה ממה [א1] שהרשו [/א1] לעצמן עקרות הבית האמריקאיות שהופיעו באותו ליל חמסין סעודי בשגרירות ארה""ב. אף על פי כן נזהרו הצלמים שלא להגביה את מצלמותיהם מעל קרסוליהן של השחקניות, והתרכזו בתשואות ובשריקות העידוד של החיילים מוכי השיעמום [א2] שזכו [/א2] למנת בידור צנועה.",0,BEFORE
" מה [א1] שנראה [/א1] לכאורה כרצח בכוונה תחילה (לפי עדויות בני משפחתו), לבש צורת המלצה להגשת גיליון אישום על הריגה, שקיבלה דמות של העמדה לדין על שתי עבירות משמעתיות, שהפכה לגיליון אישום מתוקן שבו אין זכר לעובדת המוות. ""מבית המשפט [א2] נחסך [/א2] הרבה זמן כתוצאה מעסקת הטיעון"", טרחו התובעת והסניגוריות להזכיר השבוע בעת הדיון על חומרת העונש.",3,VAGUE
" אם [א1] תוסיף [/א1] לכך את תחושת חוסר התוחלת והמשבר הכלכלי הקיים בירדן תקבל מצוקה חברתית משולבת. הגורמים הפונדמליסטיים האלה, [א2] מדברים [/א2] במונחים מאד רדיקליים בנושא הסכסוך הישראלי-ערבי.",3,VAGUE
" בפנייתו לחברי ההתאחדות [א1] אומר [/א1] נשיא הקבלנים, מרדכי יונה, כי הדרך של פנייה מרוכזת של החברים דרך ההתאחדות מבטיחה ליווי צמוד לכל בקשה עד מילויה. בהתאחדות משוכנעים כי בדרך זו יוכל משרד הבינוי והשיכון לטפל במרוכז בכל ההצעות ולא [א2] ידחה [/א2] בקשות פרטניות בשל חוסר כוח-אדם לטיפול בבקשות אלה.",0,BEFORE
" נוצר רושם שהרשויות [א1] הנוגעות [/א1] בדבר מתחמקות מלחקור את מותו של סאלם איסמעיל מובארק, שלא היה פעיל באינתיפאדה, לא היה מעורב באירוע ביטחוני כלשהו, ייחל לרגע שתיפסק האלימות היהודית-פלשתינאית כדי שיוכל לשוב למסלול חייו הקודם (הוא היה אמן גילוף בעץ), נהרג על מפתן ביתו כשהוא ובני משפחתו חורשים את חלקת אדמתם. הרושם הזה התחזק [א2] כשהתברר [/א2] שמכתב ששיגר עו""ד דרוויש נאסר, פרקליטה של משפחת ההרוג, ללשכת שר המשטרה דאז, חיים בר-לב, לא טופל כלל, ושפניות של ח""כ דדי צוקר ושל אדי קאופמן (מעבידו של מובארק) לא נענו אף הן.",0,BEFORE
" כהנא חזה את אחרית הימים כאפשרות ממשית קרבה והולכת, באופן האפוקליפטי שבו היא מתוארת בתנ""ך: עם ישראל [א1] מביא [/א1] את עצמו עד לסף כליה, בגלל נטישתו את ה; מלחמת גוג ומגוג מתרגשת ובאה על ארץ ישראל; העם מכיר בחטאו, חוזר בתשובה וזוכה לגאולה שלמה. למרות שהתבטא, מדי פעם כי הוא עלול להיות מטרה להתנקשות, ספק אם [א2] העלה [/א2] בחזונותיו תמונה שבה הוא נרצח בלב מנהטן.",3,VAGUE
" שנית, הם [א1] עודדו [/א1] את היוצאים מן הכלל להפעיל השפעה מודעת יותר על עיצוב מדיניות בדרג ארצי. אנשים במרכז אותה תנועה [א2] מדגישים [/א2] כי לא היתה זו מזימה של הימין.",0,BEFORE
" נציג אחת הרשתות שסיפר לי את הסיפור מעיד, שהמראה בחוף תל אביב נועז פי כמה ממה שהרשו לעצמן עקרות הבית האמריקאיות שהופיעו באותו ליל חמסין סעודי בשגרירות ארה""ב. אף על פי כן [א1] נזהרו [/א1] הצלמים שלא להגביה את מצלמותיהם מעל קרסוליהן של השחקניות, [א2] והתרכזו [/א2] בתשואות ובשריקות העידוד של החיילים מוכי השיעמום שזכו למנת בידור צנועה.",2,EQUAL
" האש הזאת תוסיף ללחוש, גם אם הלהבה של יום קבורתו של מאיר כהנא תדעך במקצת. אם בעקבות הפיגועים בבקעה, באשקלון ובצומת אלונים היה מקום להעלות את הסברה כי האינתיפאדה [א1] נכנסת [/א1] לשלב חדש והיא מתחילה להרחיב את מסגרת ההתמרדות בשלטון הכיבוש למלחמה בעם היהודי, ייתכן כי זה שרצח את מאיר כהנא [א2] עומד [/א2] לגרור את העם היהודי להרים את הכפפה שנזרקה לעברו מהצד הערבי-פלשתיני.",0,BEFORE
" בהמשך [א1] אמר [/א1] כי עסקת החבילה שעשתה הממשלה עם ההסתדרות בשנים הקודמות היתה מעטפה יפה על-מנת שההסתדרות תקבל פחות. ל, יו""ר המושב בו [א2] הירצו [/א2] קיסר, ושר האוצר, אמר קיסר: ""מר אורי, או החבר אורי, אם היית חבר בהסתדרות הייתי מקבל ממך מס אחיד גבוה.",2,EQUAL
" דיומא, שהיה סופר בעל מוניטין, [א1] הכיר [/א1] באבהותו על ספרים רבים, כנראה בתמורה מתאימה, לרווחתם ולשמחתם של מוציאים לאור וקוראים כאחד. חלק מן הספרים הללו כתב לפי רעיונותיהם של אחרים, חלק ערך ושיפץ על-פי כתבי יד [א2] שנמסרו [/א2] לו, וחלק, כנראה, לא ראה מעולם.",0,BEFORE
" הסתבר בכנס, שלמרות הדימוי [א1] הרווח [/א1] של ""היישוב הישן"" כמכלול של זקנים שעלו ארצה רק כדי להתפלל ולהיקבר בה, היו בציבור זה יוזמות כלכליות של קבוצות ופרטים. לדוגמה, בשנות ה06 של המאה ה91, כאשר היה מחסור עולמי בכותנה, עקב מלחמת-האזרחים בארה""ב, [א2] יזמו [/א2] גידול כותנה בארץ שפתרה, מקומית, את הבעיה.",1,AFTER
" לפעמים, אחרי [א1] שקיבל [/א1] מימון פטור ממס באמצעות ההתאחדות שלו שלא למטרות רווח מקרין טרנר את הסרטים הדוקומנטריים ברשת הטלוויזיה שלו הקיימת בהחלט כדי לשאת רווחים וברשתות אחרות כמוה. אבל אל [א2] תטרחו [/א2] לדווח לשלטונות המקומיים.",0,BEFORE
" גם הסדרי השכר הגיבו אמנם בפיגור מסוים על המיתון שהשתרר במשק החל מ7891. הנתונים בלוח מראים את השינויים בשכר הממוצע למשרת שכיר בארבע וחצי השנים האחרונות במונחים ריאליים (באחוזים): בשירותים הציבוריים השכר לא זו בלבד שלא נשחק, אלא גדל בשנים האחרונות הרבה מעבר לגידול בפריון הכללי במשק (הפריון במגזר השירותים הצבוריים [א1] מחוסן [/א1] מפני בדיקה וביקורת), ובימים אלה [א2] מנהלים [/א2] המעסיקים הציבוריים מאבק לבלימת גידול נוסף בשכר הריאלי במגזר זה ב0991 וב1991 (למעשה עד אפריל 2991).",0,BEFORE
" באחת ההזדמנויות [א1] התבטא [/א1] להט באומרו, כי לא איכפת לו שללשכת המהנדסים לא תהיה כלל אכסניה בתל-אביב ומצידו שיעברו לגבעתיים, רמת-גן או ערים אחרות בסביבה. הוא ציין, כי העירייה איננה [א2] רואה [/א2] מחובתה לממן למהנדסים הקמת משכן חילופי או להקצות להם בחינם מגרש אחר.",0,BEFORE
" יתר על כן, במהלך הלימודים [א1] באות [/א1] הבנות במגע עם בני המין השני ללא פיקוח ההורים. במינכן [א2] התחשב [/א2] מרכז העבודה לענייני זרים בהורים.",3,VAGUE
" פנייתו של ועד העובדים למנכ""ל רשות החברות הממשלתיות באה בהמשך למכתב שחברי הוועד שיגרו לשר האוצר יצחק מודעי ולשר התחבורה משה קצב, לפני 01 ימים, שבו [א1] דרשו [/א1] כי חלק ממניות הממשלה שיונפקו בבורסה לניירות ערך, יוקצו לעובדים בתנאים מועדפים, כפי שנעשה לגבי חברת ""בזק"". הציבור [א2] מחזיק [/א2] כיום ב84% ממניות ממ""ן.",3,VAGUE
" בבת ים יהיה היום מיפגש תחתית, שבו יארח הפועל המקומי את הפועל טירת הכרמל (סוגר הטבלה). ביבנה [א1] ישחקו [/א1] היום (1400) מכבי המקומי והפועל טבריה שאינו [א2] מתעלה [/א2] במשחקי חוץ.",1,AFTER
" דינה רצבסקי, מנהלת אגף תוכניות ארציות ומחוזיות במשרד הפנים, ציינה שהוראות אלו, אשר תבואנה במקום ההוראות שאושרו ב-6791, תשפרנה את התכנון המוקדם של הדרכים [א1] ותזרזנה [/א1] את הליכי הדיון וההחלטה במוסדות התכנון בכל הנוגע לסלילת כבישים חדשים. רצבסקי הדגישה, כי תוכנית מיתאר ארצית לדרכים היא בעלת חשיבות מיוחדת בארץ קטנה עם נופים ושמורות טבע ייחודיים ומגוונים, אתרים היסטוריים, אתרים [א2] מקודשים [/א2] ועוד.",1,AFTER
" מעובדי מדינה [א1] העובדים [/א1] 5 ימים בשבוע ינוכו 3 ימי-עבודה, וממי שעובדים 6 ימים בשבוע ינוכו 4 ימים. לאלה שניסו להתחכם וביקשו כי במקום ניכוי ימי היעדרות [א2] ינכו [/א2] ימים מחופשתם השנתית, הבהיר דנון כי אין להמיר ימי חופשה בימי היעדרות.",0,BEFORE
